city,County,RUCA code
EMERYVILLE,ALAMEDA,1
ENCINITAS,SAN DIEGO,1
ENCINO,LOS ANGELES,1
ESCALON,SAN JOAQUIN,3
ESCALON,SAN JOAQUIN,7
ESCONDIDO,SAN DIEGO,1
ESSEX,SAN BERNARDINO,7
EUREKA,HUMBOLDT,5
EUREKA,HUMBOLDT,4
EXETER,TULARE,1
FAIR OAKS,SACRAMENTO,1
FAIRFAX,MARIN,1
FAIRFAX,MARIN,2
FAIRFIELD,SOLANO,1
FALLBROOK,SAN DIEGO,1
FALLBROOK,SAN DIEGO,2
FARMERSVILLE,TULARE,1
FARMINGTON,STANISLAUS,2
FELTON,SANTA CRUZ,1
FERNDALE,HUMBOLDT,10
FIDDLETOWN,AMADOR,10
FILLMORE,VENTURA,6
FILLMORE,VENTURA,3
FIREBAUGH,FRESNO,7
FIREBAUGH,MADERA,10
FIREBAUGH,FRESNO,10
FOLSOM,SACRAMENTO,1
FONTANA,SAN BERNARDINO,1
FOOTHILL RANCH,ORANGE,1
FOREST RANCH,BUTTE,2
FORESTHILL,PLACER,2
FORESTVILLE,SONOMA,2
FORKS OF SALMON,SISKIYOU,10
FORT BRAGG,MENDOCINO,4
FORT IRWIN,SAN BERNARDINO,7
FORT JONES,SISKIYOU,10
FORTUNA,HUMBOLDT,4
FOUNTAIN VALLEY,ORANGE,1
FOWLER,FRESNO,4
FRAZIER PARK,KERN,10
FRAZIER PARK,KERN,3
FREMONT,ALAMEDA,1
FRENCH CAMP,SAN JOAQUIN,1
FRESNO,FRESNO,1
FRESNO,FRESNO,4
FRESNO,FRESNO,2
FULLERTON,ORANGE,1
GALT,SACRAMENTO,2
GARBERVILLE,HUMBOLDT,10
GARDEN GROVE,ORANGE,1
GARDENA,LOS ANGELES,1
GEORGETOWN,EL DORADO,2
GERBER,TEHAMA,4
GEYSERVILLE,SONOMA,2
GILROY,SANTA CLARA,10
GILROY,SANTA CLARA,2
GLEN ELLEN,SONOMA,4
GLENDALE,LOS ANGELES,1
GLENDORA,LOS ANGELES,1
GLENN,GLENN,10
GOLETA,SANTA BARBARA,1
GONZALES,MONTEREY,2
GRANADA HILLS,LOS ANGELES,1
GRAND TERRACE,SAN BERNARDINO,1
GRANITE BAY,PLACER,1
