city,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,population,ruca,revenue,predicted_revenue,number,total_wa,perc_wa,total_ba,perc_ba,total_ia,perc_ia,total_aa,perc_aa,total_na,perc_na,total_mixed,perc_mixed,total_twoormoreraces,perc_twoormoreraces
MILLBRAE,8982.12,26742.92712,7,1,0,100,0,12.98782757,20.0908059,130798.5,22625,1,75050748,75050748,228,9219,0.40746961,155,0.00685083,82,0.00362431,11058,0.48875138,8,0.00035359,924,0.04083978,1179,0.0521105
MILPITAS,2343139.462,1064828.887,83,2,47.45336157,100,0,20.66567226,40.01135074,124015,78528,1,328947490,328947490,229,12518,0.15940811,2577,0.03281632,414,0.005272,52339,0.66650112,263,0.00334912,6122,0.07795945,4295,0.05469387
MONTEBELLO,53804.32346,335482.7282,56,1,74.23650551,100,0.8,42.13513768,78.96329928,58203,65023,1,140473768,140473768,230,36180,0.5564185,851,0.01308768,471,0.00724359,9395,0.14448734,40,0.00061517,16632,0.25578641,1454,0.02236132
MONTEREY,973838.92,549308.5618,220,2,18.28208108,100,0,5.968952639,4.615966705,79146,28916,1,205769057,205769057,231,22694,0.78482501,1157,0.04001245,229,0.00791949,2339,0.08088947,52,0.00179831,816,0.02821967,1629,0.05633559
MONTEREY PARK,32555.95812,73514.00613,7,1,0,100,0.06666666667,31.14311299,61.52099886,63563,62542,1,123277197,123277197,232,9469,0.15140226,576,0.00920981,354,0.0056602,39764,0.63579674,285,0.00455694,10918,0.17457069,1176,0.01880336
MONTROSE,6707.6,4274.095052,3,1,0,100,0,21.25458612,41.58153613,67407,5874,1,,-143691412.9,233,3339,0.56843718,1,0.00017024,42,0.00715015,1464,0.24923391,85,0.01447055,654,0.1113381,289,0.04919986
MOORPARK,4046.70924,9000.211968,1,1,0,100,0,16.44043493,28.93807542,126733,38234,2,49128477,49128477,234,29311,0.76662133,577,0.01509128,500,0.01307737,3244,0.08484595,230,0.00601559,1795,0.04694774,2577,0.06740074
MORAGA,22382.79977,17839.43471,12,1,0,100,0,1.726916229,0.2017908942,186652,15733,1,25515269,25515269,235,11525,0.73253671,113,0.00718236,14,0.00088985,2662,0.1691985,142,0.00902561,224,0.01423759,1053,0.06692938
MORENO VALLEY,47477.53123,68558.59847,13,2,0,100,0.511627907,39.37834499,75.02837684,67747,204601,1,278525697,278525697,236,75007,0.36660134,34876,0.1704586,788,0.0038514,12314,0.06018543,621,0.00303518,75098,0.3670461,5897,0.02882195
MORGAN HILL,1445791.288,971916.5408,52,1,13.65113081,100,0.09090909091,18.05340463,33.33333333,115664,51712,2,110981465,110981465,237,38250,0.73967358,889,0.01719137,188,0.00363552,6963,0.1346496,61,0.00117961,2095,0.04051284,3266,0.06315749
MORRO BAY,465176.9253,231818.5859,530,2,0,100,0,11.8406507,17.21528566,64250,10655,2,37129331,37129331,238,9415,0.88362271,135,0.01267011,123,0.01154388,379,0.03557015,0,0,242,0.02271234,361,0.03388081
MOSS LANDING,201024.492,67647.97369,8,2,0,100,0.5,40.07239563,75.81662252,64050,10004,1,,-122956770.5,239,4719,0.47171132,64,0.00639744,521,0.05207917,109,0.01089564,37,0.00369852,4323,0.43212715,231,0.02309076
MOUNTAIN VIEW,811027.532,443197.0993,468,2,9.432161936,100,0,17.2260796,30.89292471,134183,74507,1,389768619,389768619,240,40099,0.53819104,1543,0.02070946,324,0.00434858,23458,0.3148429,256,0.00343592,5490,0.07368435,3337,0.04478774
MURPHYS,1480,2311.239384,1,1,0,100,0,10.01600124,13.31819902,48321,3560,10,,-155308837.3,241,3165,0.88904494,41,0.01151685,91,0.0255618,0,0,5,0.00140449,31,0.00870787,227,0.06376404
MURRIETA,221668.117,327685.5253,92,1,27.63452801,100,0,19.8981073,38.06280742,94861,127318,1,162953475,162953475,242,83573,0.65641151,7250,0.05694403,807,0.00633846,11143,0.08752101,762,0.00598501,13647,0.1071883,10136,0.07961168
NAPA,972141.7083,541770.2781,522,4,9.113311685,100,0,16.76931948,29.78938075,86918.5,103365,2,234557175,234557175,243,77532,0.75007981,1613,0.0156049,925,0.00894887,6031,0.05834664,149,0.00144149,13113,0.12686112,4002,0.03871717
NEVADA CITY,34217.6624,38106.14484,22,1,0,100,0,17.61938678,32.03430445,75250,19638,4,13977891,13977891,244,18102,0.9217843,91,0.00463387,302,0.01537835,95,0.00483756,14,0.0007129,130,0.00661982,904,0.0460332
NEWARK,164866.0463,133699.783,203,1,18.00797707,100,0.1111111111,22.84091432,44.75974272,121156,55184,1,159247528,159247528,245,15700,0.28450275,2002,0.03627863,382,0.0069223,22304,0.40417512,454,0.00822702,11254,0.20393592,3088,0.05595825
NEWBURY PARK,38111.84066,107260.0326,4,1,0,100,0,9.899188943,13.01551267,131289,44718,1,,51324676.95,246,36429,0.8146384,516,0.01153898,64,0.00143119,5580,0.12478197,10,0.00022362,889,0.01988014,1230,0.0275057
NEWCASTLE,10047.831,11806.31987,12,1,18.36991242,100,0,8.681462014,10.19044016,86250,2979,2,,-158225744.6,247,2609,0.87579725,4,0.00134273,13,0.00436388,148,0.0496811,0,0,12,0.0040282,193,0.06478684
NEWMAN,90273.05,22324.45608,152,2,0,100,0.5,41.74518459,78.37053853,57646.5,13682,4,8865452,8865452,248,12307,0.899503,229,0.01673732,133,0.0097208,195,0.0142523,5,0.00036544,640,0.04677679,173,0.01264435
NEWPORT BEACH,1053221.132,531492.1605,233,1,97.31939457,100,0,11.32833489,15.76491361,120057,71747,1,522199250,522199250,249,59745,0.83271774,999,0.01392393,154,0.00214643,7120,0.0992376,110,0.00153317,1760,0.02453064,1859,0.02591049
NEWPORT COAST,213.2,4322.46038,3,1,3.089221598,100,0,6.707260486,5.996973137,148583,13758,1,,-104109834,250,9945,0.72285216,19,0.00138101,22,0.00159907,3129,0.22743131,15,0.00109027,88,0.00639628,540,0.03924989
NICE,171415.3254,130869.3542,7,1,0,100,0,15.55421814,26.57333838,47472,2446,4,,-160901668.2,251,2048,0.83728536,39,0.0159444,0,0,4,0.00163532,0,0,265,0.10834015,90,0.03679477
NIPOMO,126985.9269,53811.22122,181,2,0,100,0,15.27562568,25.7661748,84102,27744,2,,-33893197.35,252,23402,0.84349769,336,0.01211073,149,0.00537053,790,0.02847463,52,0.00187428,1672,0.06026528,1343,0.04840686
NORWALK,90084.23021,126855.2876,14,1,68.13909342,100,0.8571428571,44.74812117,82.49463993,71875,105858,1,136917106,136917106,253,39483,0.37298079,5001,0.04724253,478,0.00451548,14793,0.13974381,728,0.00687714,42131,0.39799543,3244,0.03064483
NOVATO,570361.8468,373166.031,787,3,5.539881044,100,0,9.770942404,12.57409509,117007,63616,2,103147717,103147717,254,46895,0.73715732,2121,0.03334067,119,0.0018706,4674,0.07347208,62,0.0009746,6349,0.09980194,3396,0.0533828
OAK PARK,1367.1315,3040.612152,1,1,0,100,0,5.241023956,3.48719889,143627,8355,1,,-131235566,255,5621,0.6727708,86,0.01029324,0,0,1998,0.23913824,17,0.00203471,72,0.00861759,561,0.06714542
OAKDALE,166623.906,224515.898,232,2,47.76355355,100,0.25,37.32636064,72.02043133,68176,28121,1,37414843,37414843,256,24278,0.86334056,68,0.00241812,143,0.00508517,664,0.02361225,61,0.0021692,1926,0.06848974,981,0.03488496
OAKHURST,279136.104,105917.5958,23,1,48.13676488,100,0,14.89000897,24.85811578,61445,13760,8,,-104099793,257,12314,0.89491279,38,0.00276163,378,0.02747093,310,0.02252907,0,0,409,0.02972384,311,0.02260174
OAKLAND,2084728.984,1364188.926,1316,3,5.288435814,100,0.2314814815,26.65578267,53.285408,68606,407922,1,2264363902,2264363902,258,146494,0.35912258,93283,0.22867852,3637,0.00891592,65365,0.16023897,2247,0.00550841,69612,0.17065027,27284,0.06688534
OAKLEY,75274.128,24443.48136,24,1,87.54224444,100,0.1666666667,31.87043889,62.8641695,91257.5,43415,1,50377267,50377267,259,25686,0.59163883,4110,0.09466774,425,0.00978924,2629,0.06055511,392,0.00902914,6557,0.15103075,3616,0.08328919
OCCIDENTAL,40319.78047,15807.49328,5,1,0,100,0,8.152807182,8.840963552,80341,3848,2,,-153862934.8,260,3314,0.86122661,63,0.01637214,50,0.01299376,28,0.00727651,22,0.00571726,96,0.02494802,275,0.0714657
OCEANO,119861.4698,43327.98666,228,2,0,100,0,18.76801139,35.13683945,70270,7033,1,,-137872659.7,261,5512,0.78373383,77,0.01094839,84,0.01194369,475,0.06753875,0,0,561,0.07976681,324,0.04606853
OJAI,2260.32408,5027.145424,2,1,0,100,0,11.66881848,16.91890528,77596.5,16740,1,24871173,24871173,262,15250,0.91099164,76,0.00454002,25,0.00149343,403,0.02407407,23,0.00137395,378,0.02258065,585,0.03494624
OLIVEHURST,143918.059,55128.46286,396,2,0,100,0.25,32.7576238,64.24517594,43601.5,28522,2,,-29987252.6,263,20201,0.70826029,768,0.02692658,479,0.01679405,2390,0.08379497,176,0.00617068,2240,0.07853587,2268,0.07951757
ORANGE,924385.77,525621.0164,330,1,91.73783677,100,0.03846153846,25.62992361,51.0404843,88268,143399,1,304186913,304186913,264,103850,0.7242031,2673,0.0186403,749,0.00522319,16225,0.11314584,630,0.00439334,14268,0.0994986,5004,0.03489564
ORANGE COVE,81400.5317,17670.79732,282,2,0,100,1,45.71140713,83.77475091,28125.5,7179,4,6439408,6439408,265,5139,0.71583786,6,0.00083577,4,0.00055718,130,0.01810837,55,0.00766123,1845,0.25699958,0,0
ORANGEVALE,2035,141.2392483,11,1,0,100,0,11.91665704,17.29726321,85862,37602,1,,15598837.81,266,31648,0.84165736,696,0.01850965,164,0.00436147,1050,0.02792405,29,0.00077124,930,0.02473273,3085,0.08204351
ORINDA,81063.058,44397.59025,60,1,71.70677214,100,0,2.701502495,0.7314919914,224318,20468,1,44863212,44863212,267,15640,0.7641196,281,0.01372875,1,4.89E-05,3223,0.15746531,72,0.00351769,79,0.00385968,1172,0.05726011
ORLAND,116257.3726,51290.59581,7,2,0,100,0,23.61414386,46.63892042,49952,17308,4,13178976,13178976,268,14633,0.84544719,41,0.00236885,258,0.0149064,215,0.012422,4,0.00023111,1932,0.11162468,225,0.01299977
OROVILLE,166775.513,252423.5559,374,4,21.98726942,100,0.07142857143,23.92517862,47.41455417,42954,56228,4,39649481,39649481,269,43116,0.76680657,1094,0.0194565,1267,0.02253326,4420,0.07860852,185,0.00329018,1716,0.0305186,4430,0.07878637
OXNARD,78918.13709,381382.8707,16,1,0,100,0.1538461538,23.73596972,46.96683062,69703,220161,1,381462311,381462311,270,168476,0.76523998,5581,0.02534963,2837,0.01288602,15107,0.06861797,632,0.00287063,20499,0.09310913,7029,0.03192664
PACIFIC GROVE,385017.3605,226263.207,76,2,38.46174573,100,0,3.212025046,1.13507378,85889.5,15522,1,63178440,63178440,271,13380,0.86200232,143,0.00921273,32,0.00206159,852,0.05488983,0,0,262,0.01687927,853,0.05495426
PACIFICA,557137.0684,240841.8001,47,2,6.237806581,100,0,9.971508641,13.2109976,125082,38984,1,79983029,79983029,272,24507,0.62864252,962,0.02467679,146,0.00374513,8063,0.20682844,762,0.01954648,1480,0.03796429,3064,0.07859635
PAICINES,9383.427,5802.60957,3,1,0,100,0,29.28433507,58.20406104,94327,3049,6,,-157874310,273,2898,0.95047557,7,0.00229583,3,0.00098393,11,0.00360774,0,0,54,0.01771072,76,0.02492621
PALO CEDRO,45701.575,50940.91918,18,1,0,100,0,4.597585739,3.171900618,70226,6629,2,,-139900939.5,274,6006,0.90601901,36,0.00543068,137,0.02066677,90,0.01357671,0,0,52,0.00784432,308,0.04646251
PARADISE,59555.721,62029.46291,108,2,19.12549927,100,0,18.12879274,33.53512423,53125,20696,4,39461656,39461656,275,18734,0.90519907,67,0.00323734,193,0.00932547,218,0.01053344,1,4.83E-05,162,0.0078276,1321,0.06382876
PARLIER,264534.399,95709.06837,397,2,0,100,1,68.97849209,99.11716484,36395,9242,3,10535639,10535639,276,7563,0.81832937,0,0,0,0,42,0.00454447,0,0,1545,0.16717161,92,0.00995456
PASO ROBLES,2113505.715,938141.0339,2395,3,12.46420965,100,0,14.77590883,24.55542944,70402.5,42290,2,,39134916.21,277,36405,0.86084181,619,0.01463703,399,0.00943485,783,0.01851502,10,0.00023646,2984,0.07056042,1090,0.02577441
PENN VALLEY,65478.6801,56873.97794,38,3,35.39346431,100,0,12.48852833,18.93050826,52500,5606,5,,-145036905.4,278,5375,0.95879415,141,0.02515162,45,0.00802711,21,0.00374599,0,0,0,0,24,0.00428113
PENNGROVE,21653.05776,10786.19909,5,1,0,100,0,9.628344419,12.39752806,108370,5737,1,,-144379220.7,279,4813,0.83894021,194,0.03381558,11,0.00191738,444,0.07739237,0,0,73,0.01272442,202,0.03521004
PENRYN,3975.295,4720.944976,6,1,0,100,0,3.362042856,1.28641695,86985,2546,1,,-160399618.7,280,2372,0.9316575,11,0.0043205,33,0.01296151,0,0,17,0.00667714,35,0.01374705,78,0.03063629
PETALUMA,2810015.002,1236508.12,3986,4,2.942062107,100,0,17.08248229,30.55870854,90556,79601,6,118435446,118435446,281,63457,0.79718848,847,0.01064057,365,0.00458537,3083,0.03873067,113,0.00141958,7859,0.09872992,3877,0.04870542
PHILO,0,1378.179988,1,1,0,100,0,14.22668781,23.00416194,44896,3023,10,,-158004842.8,282,2836,0.93814092,63,0.02084022,26,0.00860073,36,0.0119087,0,0,19,0.00628515,43,0.01422428
PINE GROVE,32489.10676,29449.30165,9,1,0,100,0,19.72378447,37.65922563,78352,4639,10,,-149891723.7,283,4085,0.88057771,20,0.00431127,55,0.011856,63,0.01358051,4,0.00086225,303,0.0653158,109,0.02349644
PINOLE,218572.8915,116373.6056,533,3,0,100,0,24.24420848,48.27847143,91866,17262,1,53486686,53486686,284,7323,0.42422663,1953,0.11313869,96,0.00556135,4845,0.28067431,28,0.00162206,1268,0.07345615,1749,0.10132082
PIONEER,23859.19287,22413.86782,9,1,0,100,0,15.47516408,26.67423383,57032,5890,10,,-143611085,285,5194,0.88183362,16,0.00271647,48,0.00814941,147,0.02495756,0,0,34,0.0057725,451,0.07657046
PISMO BEACH,362797.0479,169250.7911,656,2,0,100,0,7.939373971,8.273426662,84782,8161,1,63036643,63036643,286,7198,0.88199975,229,0.02806029,26,0.00318588,143,0.01752236,0,0,359,0.04398971,206,0.025242
PITTSBURG,1527778.762,772467.7257,167,1,85.68919813,100,0.5714285714,41.25075262,77.76516585,62414.5,78759,1,92988794,92988794,287,27499,0.34915375,11272,0.14312015,729,0.00925609,8696,0.11041278,518,0.00657703,22953,0.29143336,7092,0.09004685
PLACENTIA,12350.21725,7081.374945,13,1,0,100,0.1666666667,21.4392046,41.56261824,97163.5,56135,1,86022022,86022022,288,39549,0.70453371,1173,0.02089605,398,0.00709005,9291,0.16551171,143,0.00254743,3294,0.05867997,2287,0.04074107
PLACERVILLE,243098.7505,181428.2371,35,1,2.421010491,100,0,15.30033453,25.92382394,66163.5,39151,3,28480303,28480303,289,35894,0.91680928,229,0.00584915,429,0.01095757,834,0.02130214,40,0.00102169,602,0.01537636,1123,0.02868381
PLEASANT HILL,296109.3245,186954.1767,387,1,5.791244755,100,0,8.914923559,10.66969353,127916.5,32996,1,76834417,76834417,290,25029,0.75854649,953,0.02888229,63,0.00190932,3367,0.10204267,241,0.00730392,1282,0.03885319,2061,0.06246212
PLEASANTON,139288.1802,143059.0188,345,4,8.827637862,100,0,14.35004864,23.28162442,159412,93374,2,331465720,331465720,291,45553,0.48785529,1832,0.01962002,271,0.00290231,39089,0.41862831,480,0.00514062,1877,0.02010196,4272,0.04575149
PLYMOUTH,67219.74896,60011.40058,8,1,0,100,0,25.31138812,50.40988775,79375,5105,3,3299488,3299488,292,3092,0.60568071,815,0.1596474,87,0.01704212,82,0.01606268,10,0.00195886,697,0.13653281,322,0.06307542
POINT ARENA,34590.42446,18564.46866,15,1,0,100,0,13.90902337,22.20961029,57558,4188,10,1126945,1126945,293,3755,0.89660936,31,0.0074021,257,0.06136581,24,0.00573066,1,0.00023878,2,0.00047755,118,0.02817574
POINT REYES STATION,69662.47732,30087.85856,8,2,0,100,0,4.833126724,2.963803758,95441,1641,10,,-164943166.3,294,1606,0.97867154,17,0.01035954,0,0,0,0,0,0,13,0.007922,5,0.00304692
POLLOCK PINES,5520.68352,4130.833048,1,1,0,100,0,8.763272894,10.43006684,83115,12697,4,,-109436578.7,295,11499,0.905647,52,0.00409546,211,0.0166181,194,0.0152792,48,0.00378042,256,0.02016224,437,0.03441758
POMONA,642929.2,437328.2935,16,1,100,100,0.7741935484,52.26491988,90.99508135,57650,152251,1,258915743,258915743,296,72218,0.47433514,8565,0.05625579,3670,0.02410493,15675,0.10295499,155,0.00101806,45147,0.29653007,6821,0.04480102
PORT HUENEME,8145.409104,17986.79735,4,1,0,100,0,28.7165969,57.27077816,64439,19861,1,28934474,28934474,297,15551,0.78299179,827,0.04163939,75,0.00377624,696,0.03504355,119,0.00599164,1438,0.0724032,1155,0.05815417
POTTER VALLEY,1564.92,986.9941371,1,1,0,100,0,16.42791155,28.85609787,59348,1869,5,,-163798493.5,298,1595,0.85339754,0,0,37,0.01979668,23,0.01230605,0,0,30,0.01605136,184,0.09844837
QUINCY,40911.14603,32652.81939,5,1,0,100,0,16.81633412,29.92811199,53581,5446,7,,-145840184.6,299,4815,0.88413515,155,0.02846126,69,0.01266985,50,0.00918105,0,0,184,0.03378627,173,0.03176643
RANCHO MIRAGE,522163.0329,162492.741,17,1,62.88055484,100,0,8.91900947,10.70752932,82097,17140,1,75260542,75260542,300,15052,0.8781797,410,0.02392065,203,0.01184364,743,0.04334889,27,0.00157526,402,0.02345391,303,0.01767795
RANCHO PALOS VERDES,40073.5237,103230.3292,8,1,0,100,0,5.618139311,3.972758229,143721,44864,1,89577373,89577373,301,25345,0.56492956,840,0.01872325,103,0.00229583,13800,0.30759629,367,0.00818028,1659,0.03697842,2750,0.06129636
RED BLUFF,1138255.561,540779.8048,502,3,16.0224935,100,0,25.68313517,51.08462606,40948.5,34100,4,28947329,28947329,302,29538,0.86621701,408,0.01196481,458,0.01343109,705,0.02067449,16,0.00046921,1207,0.03539589,1768,0.05184751
REDDING,15178.785,15690.88625,4,1,0,100,0,13.84379856,22.03304326,59235,109737,2,160494100,160494100,303,93480,0.85185489,1530,0.01394243,2910,0.02651795,4953,0.04513519,108,0.00098417,2214,0.02017551,4542,0.04138987
REDONDO BEACH,128353.8777,82175.29285,10,1,0,100,0,12.30210647,18.3945012,111585.5,72275,1,197197476,197197476,304,51575,0.71359391,2529,0.03499135,299,0.00413698,9432,0.13050156,63,0.00087167,2789,0.03858872,5588,0.07731581
REDWOOD CITY,613922.9824,363160.6742,646,3,3.795860899,100,0.04166666667,14.00365536,22.6636398,132742,121495,2,334832466,334832466,305,75709,0.62314499,1742,0.01433804,681,0.00560517,14749,0.12139594,914,0.00752294,21954,0.18069879,5746,0.04729413
REDWOOD VALLEY,35722.38096,41437.17455,9,1,41.52790928,100,0,15.28289174,26.52919662,60312.5,10311,4,,-121415478.6,306,9260,0.89807002,11,0.00106682,353,0.03423528,97,0.00940743,10,0.00096984,343,0.03326544,237,0.02298516
REEDLEY,316862.4178,112370.0526,876,2,17.3264174,100,0.8571428571,47.79340498,86.54306974,44375,40225,5,23335581,23335581,307,30285,0.75288999,515,0.01280298,295,0.00733375,1265,0.0314481,32,0.00079553,6021,0.14968303,1812,0.04504661
RICHMOND,2209539.833,1633195.497,2597,2,11.43691966,100,0.5,38.48676688,73.34468407,58935.5,88242,1,518244183,518244183,308,32366,0.36678679,17033,0.193026,312,0.00353573,10463,0.11857166,291,0.00329775,23211,0.26303801,4566,0.05174407
RIO VISTA,1112211.88,555614.1393,401,3,13.81066724,100,0,38.66444693,74.00681044,68284,10676,7,15552814,15552814,309,8081,0.75693144,712,0.06669164,26,0.00243537,623,0.05835519,86,0.00805545,953,0.08926564,195,0.01826527
RIPON,86051.1,76590.1109,4,1,0,100,0,29.07020827,57.87615084,83600,17867,1,23370019,23370019,310,15655,0.87619634,93,0.00520513,74,0.00414171,423,0.02367493,15,0.00083954,330,0.0184698,1277,0.07147255
RIVERBANK,193445.037,79430.71915,348,2,0,100,1,48.90525945,87.57724808,58165.5,16110,1,22223025,22223025,311,12638,0.78448169,198,0.0122905,215,0.01334575,328,0.02036002,67,0.00415891,1566,0.0972067,1098,0.06815642
RIVERDALE,13549.68,7512.078468,1,1,0,100,1,44.34086743,82.06583428,50434,5221,7,,-146969795.8,312,3307,0.63340356,16,0.00306455,3,0.0005746,102,0.01953649,0,0,1692,0.32407585,101,0.01934495
ROCKLIN,674270.4625,296237.1909,1024,4,2.565886655,100,0,7.616903506,7.579770463,94821,63112,1,123847771,123847771,313,49995,0.79216314,1099,0.01741349,292,0.0046267,6149,0.09742997,61,0.00096654,1773,0.02809291,3743,0.05930726
RODEO,26380.77793,18751.59687,251,1,0,100,1,43.45502387,80.84247698,59567,6285,1,,-141627989.7,314,2872,0.45696102,1146,0.1823389,0,0,1117,0.17772474,86,0.01368337,429,0.06825776,635,0.10103421
ROHNERT PARK,796559.6046,421318.1182,1889,1,23.16492731,100,0,12.93589326,19.86379115,65119,38042,1,88150550,88150550,315,27680,0.72761684,1005,0.02641817,42,0.00110404,2507,0.06590085,15,0.0003943,4885,0.1284107,1908,0.05015509
ROSEMEAD,32452.24488,3965875.058,58,25,0,40.41842836,0.5,39.64140399,75.46348846,61046,61315,1,59057151,59057151,316,9195,0.1499633,375,0.00611596,367,0.00598548,37565,0.61265596,11,0.0001794,12795,0.20867651,1007,0.01642339
ROSEVILLE,2610,130.066063,9,1,0,100,0,13.03738161,20.17908942,88314.5,142410,1,319452085,319452085,317,109876,0.77154694,3116,0.02188049,872,0.00612317,15516,0.10895302,550,0.00386209,4936,0.03466049,7544,0.05297381
SACRAMENTO,29903,16421.66873,162,2,0.9071779839,100,0.2386363636,29.2166479,58.0653298,57258.5,821850,1,1263401000,1263401000,318,403261,0.4906747,101211,0.12315021,6166,0.00750259,141616,0.17231368,11851,0.01441991,93941,0.11430431,63804,0.0776346
SAINT HELENA,95324.37966,43824.5674,31,1,0,100,0,15.80106435,27.3174423,91889,7947,8,,-133283927.7,319,6697,0.84270794,99,0.01245753,7,0.00088084,138,0.01736504,0,0,926,0.11652196,80,0.01006669
SALINAS,5466769.433,3053607.515,726,3,19.25831466,100,0.05,26.33470027,52.553916,71607,199851,6,389086044,389086044,320,85006,0.42534688,3532,0.01767317,1343,0.00672001,11519,0.05763794,678,0.00339253,89682,0.44874431,8091,0.04048516
SAN ANSELMO,263893.8812,229761.9531,140,1,0,100,0,3.973132251,1.879177702,142072.5,17184,1,52211107,52211107,321,15526,0.9035149,165,0.00960196,0,0,578,0.03363594,0,0,409,0.02380121,506,0.029446
SAN BERNARDINO,223875.54,90805.97867,2,2,0,100,0.7254901961,46.91061761,85.35754824,47970.5,278008,5,335935687,335935687,322,168148,0.60483152,34210,0.12305401,1711,0.0061545,10362,0.03727231,1282,0.00461138,48979,0.17617838,13316,0.0478979
SAN BRUNO,132328.8681,119661.5405,232,1,0,100,0.1111111111,15.97754578,27.67057637,122308,43101,1,98367969,98367969,323,19095,0.44302916,426,0.00988376,54,0.00125287,13384,0.31052644,1256,0.02914086,5550,0.12876731,3336,0.0773996
SAN CARLOS,863095.4914,402278.1941,43,2,16.26497369,100,0,7.880444239,8.172531215,189914,32112,1,114221909,114221909,324,23931,0.74523543,285,0.00887519,26,0.00080967,4996,0.15558047,54,0.00168161,826,0.02572247,1994,0.06209517
SAN DIEGO,0,20892804.11,104,8,0,0,0.09578544061,17.1951482,30.82355909,77448,1335542,1,4139432802,4139432802,325,852385,0.63823152,90004,0.06739137,6597,0.00493957,232361,0.17398255,5668,0.00424397,76269,0.05710715,72258,0.05410388
SAN FRANCISCO,13683306.83,33332781.1,2566,10,1.7252794,41.9634864,0.0612244898,14.76133906,24.53651154,115882.5,874961,6,13200899836,13200899836,326,406056,0.46408468,45556,0.05206632,3223,0.00368359,301018,0.34403591,3188,0.00364359,67207,0.07681142,48713,0.05567448
SAN GABRIEL,19004.4,4752.896799,1,1,0,100,0.1538461538,25.32997012,50.43511162,70618,62324,1,92436618,92436618,327,13648,0.21898466,520,0.0083435,191,0.00306463,36627,0.58768693,71,0.00113921,9609,0.15417817,1658,0.02660291
SAN GERONIMO,7242.578,3574.055353,7,1,0,100,0,1.848289067,0.2900744104,97321,3371,1,,-156257710.7,328,3006,0.89172352,3,0.00088994,22,0.00652625,16,0.00474637,10,0.00296648,213,0.063186,101,0.02996144
SAN JACINTO,9691.655944,121099.359,8,1,0,100,0.1,28.18148686,56.28704755,50020,61157,1,40924212,40924212,329,43453,0.71051556,4232,0.06919895,1622,0.0265219,1771,0.02895825,26,0.00042514,7347,0.12013343,2706,0.04424677
SAN JOSE,8691236.961,4926402.337,4821,4,46.85272528,100,0.07070707071,19.25478188,36.43586833,108125,1047701,1,2915456970,2915456970,330,420709,0.40155445,30850,0.02944542,6164,0.00588336,371379,0.35447041,4484,0.00427985,157897,0.15070807,56218,0.05365844
SAN JUAN BAUTISTA,148144.247,83644.50286,91,3,0,100,0,27.23503082,54.3069744,92423,6263,3,4032237,4032237,331,4808,0.76768322,4,0.00063867,0,0,404,0.06450583,13,0.00207568,635,0.10138911,399,0.06370749
SAN LEANDRO,1444334.551,966954.5272,3751,3,1.987679266,100,0.1363636364,30.26975556,59.96973137,78295,118450,1,289621805,289621805,332,44045,0.37184466,14351,0.12115661,1097,0.00926129,38173,0.322271,1123,0.00948079,12236,0.10330097,7425,0.06268468
SAN LORENZO,59093.4857,38864.77771,39,1,0,100,0,23.83273565,47.16862152,96856.5,30688,1,,-19112861.43,333,15108,0.4923097,1395,0.04545751,352,0.01147028,7456,0.24296142,517,0.01684698,4142,0.13497132,1718,0.05598279
SAN LUIS OBISPO,622925.4062,277676.4409,626,3,5.467203328,100,0,11.85025369,17.24050952,69512,65313,1,176469386,176469386,334,51700,0.79157289,2828,0.04329919,380,0.00581814,4646,0.07113438,38,0.00058181,2955,0.04524367,2766,0.04234992
SAN MARINO,32779.5,21210.96697,18,1,0,100,0,8.693052429,10.16521629,165208.5,13194,1,61287251,61287251,335,4157,0.31506745,246,0.01864484,0,0,7979,0.60474458,27,0.00204638,379,0.02872518,406,0.03077156
SAN MARTIN,610856.5,463943.7159,11,1,0,100,0,27.36748698,54.69163829,112964.5,9665,2,,-124658718.1,336,7536,0.77972064,211,0.02183135,95,0.00982928,610,0.06311433,35,0.00362131,654,0.06766684,524,0.05421624
SAN MATEO,1578122.95,739052.3031,3753,3,6.673942037,100,0,12.21017894,18.17379241,144479,143097,1,343379295,343379295,337,72781,0.50861304,2951,0.02062238,480,0.00335437,42794,0.29905589,2742,0.01916183,12243,0.08555735,9106,0.06363516
SAN PABLO,321706.5063,200685.9206,328,2,0,100,0.4545454545,37.91161714,73.03569176,64327,63422,1,122697588,122697588,338,24559,0.38723156,9976,0.15729558,343,0.00540822,11563,0.18231844,352,0.00555012,13691,0.21587146,2938,0.04632462
SAN RAFAEL,1119960.679,875477.2003,3558,2,26.31002978,100,0,10.72676884,14.66767562,96313,72139,1,210321883,210321883,339,49713,0.68912793,1009,0.01398689,508,0.00704196,4892,0.06781353,372,0.00515671,11856,0.16434938,3789,0.0525236
SAN RAMON,517024.39,149317.1351,2142,2,1.704857196,100,0,6.177989246,5.032160424,149437.5,86097,1,124315838,124315838,340,37760,0.4385751,1902,0.02209136,275,0.00319407,39226,0.4556024,268,0.00311277,1428,0.01658594,5238,0.06083836
SANGER,337088.147,100033.9402,785,2,0,100,0.375,33.81499162,66.12435364,73114.5,47464,2,31723224,31723224,341,33499,0.70577701,308,0.00648913,647,0.01363138,3917,0.0825257,24,0.00050565,7571,0.15951037,1498,0.03156076
