,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget
58,BUELLTON,136577.42273000002,-252.91886063,1450306.5181038,-2577.8225109400005,36601.08766141772,274,3,19.13001678152003,100.0
59,BUENA PARK,208320.370016,1260.8109563990001,2631190.7088,20191.30179935,125532.61640266159,34,1,49.39361944977595,100.0
60,BURLINGAME,1331067.259,-4042.5826175319994,11938748.372990001,-39096.95757766,537631.7989973895,920,3,33.9720378518941,100.0
61,BURNEY,8857.665,-14.597999666,98025.876,-72.989998323,10321.75528831893,5,1,100.0,100.0
62,BUTTONWILLOW,164338.92449000003,-703.07328,1892584.9869216003,-7872.726093200001,78305.35565433776,19,1,0.0,100.0
63,CALISTOGA,212789.11454102004,-701.44185876,2431401.3556199004,-8366.324570259998,88825.42096924083,271,2,0.0,100.0
64,CAMARILLO,26280.541157630003,-16.471986111,140118.1598314,-86.308003288,49969.76757503522,9,1,0.0,100.0
65,CAMBRIA,50718.60659000001,-396.96617,626969.6569373001,-4970.221779900002,19600.02680502434,80,2,0.0,100.0
66,CAMERON PARK,50365.50622,-305.68307000000004,587798.3828639999,-3573.2214959999997,38962.8684860421,13,1,0.0,100.0
67,CAMINO,4154.83416,-36.13185,49858.00992,-433.5822,3354.113980844292,2,1,0.0,100.0
68,CAMP MEEKER,409.744,-9.6526,3628.76,-85.828,462.6536733978288,3,1,0.0,100.0
69,CAMPBELL,473185.0184,-1565.7446906899997,4870550.9937499985,-14969.167363499999,338893.255701452,565,2,6.191652892387836,100.0
70,CANYON COUNTRY,31891.44,0.0,382697.27999999997,0.0,23534.47675638563,3,2,0.0,100.0
71,CANYON LAKE,9708.614323200001,-8.531205835,61673.5525824,-54.634713566,14467.730932512792,8,1,0.0,100.0
72,CAPITOLA,351178.62996000005,-1655.8058099999998,2633696.493171,-11135.280680700002,154072.8939078952,26,1,28.9946660408684,100.0
73,CARLOTTA,16778.387,850.2356000000001,184030.4368,18583.260000000002,34203.47338296772,6,1,0.0,100.0
74,CARMEL,157141.538,-1449.5060000000003,1619132.1759,-14712.376500000002,90717.01788277357,38,1,32.55874153605679,100.0
75,CARMEL VALLEY,30851.149000000005,-188.4,356436.24139,-2182.96947,19611.902000471644,7,1,0.0,100.0
76,CARPINTERIA,4805.7264,-2.867965041,28580.596703999996,-14.906479262000001,10809.526021990996,4,1,0.0,100.0
77,CARSON,931403.692288,6040.052618724,9843807.82844,18058.363093622,472207.04795762186,109,2,35.83050645037119,100.0
78,CARUTHERS,23185.278,-114.822,292627.77119999996,-1194.1488,10472.48039643377,2,1,0.0,100.0
79,CASTAIC,90940.26,0.0,1091283.12,0.0,52234.36400125722,20,1,0.0,100.0
80,CASTRO VALLEY,324351.01943822013,-3565.4259600000005,3354823.8070586002,-36932.236714,224983.16434695545,91,2,0.0,100.0
81,CASTROVILLE,206877.143,-1592.6589999999999,1643394.8892299999,-9269.295150000004,122974.92419905923,24,2,0.0,100.0
82,CAYUCOS,18655.46744,-52.85779,101876.11261680002,-310.0363113,13042.578515109506,11,2,0.0,100.0
83,CAZADERO,352.74800000000005,-8.2834,2716.824,-63.9208,377.10451098764725,4,1,0.0,100.0
84,CERRITOS,8785.8,0.0,105429.6,0.0,2267.635220201866,3,1,100.0,100.0
85,CHALFANT VALLEY,1276.6599999999999,-12.573,15319.920000000002,-150.876,2948.2540146492443,4,1,100.0,100.0
86,CHATSWORTH,1377.6,0.0,16531.2,0.0,842.5557075702161,1,1,0.0,100.0
87,CHICO,1541790.9815999994,-1720.531373624,17508478.976800002,-17025.708316165998,1293355.7239177502,4523,5,16.253040242747648,100.0
88,CHOWCHILLA,461350.78199999983,-390.20399911999993,5196954.479600001,-3879.26719558,198932.87688557472,336,2,7.861166601112742,100.0
89,CHUALAR,98910.981,-622.6740000000001,1064718.972,-7472.088,62023.26814244574,3,1,0.0,100.0
90,CLAREMONT,118775.87750000002,0.0,1425310.5299999998,0.0,49810.31779085281,10,1,66.61051497856921,100.0
91,CLAYTON,56473.20302,-245.09834161,481983.41606,-1585.2397081,33937.22711075336,74,2,0.0,100.0
92,CLEARLAKE,381931.6878,-1718.9025320299997,4219673.747156402,-18988.68160469,224622.9935736608,57,2,6.0614888185795985,100.0
93,CLEARLAKE OAKS,48434.09215800001,-680.44902,506520.17999860004,-7023.218399400001,32304.51729680145,8,1,0.0,100.0
94,CLOVERDALE,255002.11828,-713.0857492700001,2911958.5448801997,-7591.8432716,115774.55701605757,26,1,0.0,100.0
95,CLOVIS,1719822.479,-1690.4583059650001,17801171.812479995,-17907.764639724,886236.7007018812,7733,3,11.05423328977326,100.0
96,COALINGA,210288.77699999997,-170.79300278899998,1913133.2023800001,-1189.738453947,54218.71551400743,591,2,0.0,100.0
97,COARSEGOLD,49681.44299999999,-234.084,642819.8712,-3477.4176,20641.20544102424,7,1,0.0,100.0
98,COLFAX,7543.0,-20.869999999999997,86808.5,-194.809,2838.1853823024408,30,2,0.0,100.0
99,COLMA,236375.16999999995,-659.0699999999999,1745255.74683,-5004.846450000001,38771.9931071736,16,1,74.24719736891332,100.0
100,COLUSA,1902.15,-20.637,19782.36,-214.6248,1631.9097854204301,2,1,0.0,100.0
101,CONCORD,1030959.0213670023,-4054.885650539998,8820023.588520791,-38254.91861090006,594691.2615064015,712,1,15.166827780701572,100.0
102,COPPEROPOLIS,1300.02534,-5.23692,13520.263536000002,-54.46396800000001,1478.38055773354,1,1,0.0,100.0
103,CORCORAN,66692.0,0.0,800304.0,0.0,4473.787690208487,345,1,0.0,100.0
104,CORNING,115242.68,0.0,1382912.16,0.0,15793.386300896884,443,2,0.0,100.0
105,CORONA,2495850.0806399994,-7.18221504,29892458.803200006,-35.9110752,1071545.1166154004,413,1,0.0,100.0
106,CORONA DEL MAR,21522.047376,-2.367336861,246423.38688,-20.466284304000002,19366.071896163226,16,1,31.75633495241025,100.0
107,CORTE MADERA,61005.82086,-327.50112974300004,686255.3857440002,-3516.4873107100016,39199.555826151234,59,3,50.51509619142619,100.0
108,COSTA MESA,275678.973804,-33.002750531,3041041.3227840015,-217.660613114,148945.5584379258,80,1,52.664219958091685,100.0
109,COTATI,271937.380978,-1462.2161777099996,2973171.6603983,-14905.4858342,109152.81199084352,403,2,0.0,100.0
110,COULTERVILLE,6691.725804,-73.33265,67879.94836159999,-720.57556,5142.6919003354615,3,1,0.0,100.0
111,CRESSEY,3937.909,-15.075999999999999,58429.2496,-219.7864,3363.5319924639653,3,1,0.0,100.0
112,CROWLEY LAKE,1129.5,0.0,13554.0,0.0,2745.62922767516,1,1,100.0,100.0
113,CULVER CITY,432360.58080000005,-220.476172024,3299000.6214000005,-1243.737262998,740226.907092189,38,1,42.58739522775478,100.0
114,CUPERTINO,484013.77999999997,-925.5338477759997,3682651.9929200006,-6865.912138829999,247370.60908834502,372,2,3.7524068392470404,100.0
115,CUTTEN,84789.0,0.0,1017468.0,0.0,5631.594411100092,433,1,0.0,100.0
116,DALY CITY,716892.7037999956,-3760.39246,7729328.142960036,-38558.514709999996,524365.790129288,1368,2,66.72300116468092,100.0
117,DANVILLE,222325.986202,-287.87186,2063115.2232439998,-2698.4601905,113364.03216243899,509,3,0.0,100.0
118,DAVIS,351784.38740000007,-353.21354,4043706.6552,-3887.77068,189874.14323203132,54,3,10.688532435063085,100.0
119,DEL REY,37284.880999999994,0.0,243368.5022,0.0,19428.716648255202,9,1,0.0,100.0
120,DELHI,12495.0,0.0,149940.0,0.0,44447.83480405271,130,1,95.55306461920956,100.0
121,DIAMOND SPRINGS,21732.776820000003,-156.53430142,176302.03899600002,-1185.5404511,17294.148918036135,5,1,0.0,100.0
122,DILLON BEACH,559.472,-13.2788,7487.980000000001,-178.154,855.0595343054033,5,1,0.0,100.0
123,DINUBA,190540.0,0.0,2286480.0,0.0,127050.24356852336,1203,1,18.83783575655345,100.0
124,DISCOVERY BAY,4923.4,-46.903999999999996,59080.8,-562.848,6226.449271865447,4,1,0.0,100.0
125,DIXON,587500.8374800005,-1336.4785181000004,6423303.007947996,-8843.383649300004,333415.9586610701,1093,4,0.0,100.0
126,DOS PALOS,121536.86,-294.87030000000004,1543559.52,-4717.924800000001,231156.53943895333,630,3,88.6407485663963,100.0
127,DOWNEY,1639051.6406319996,-31.918327987,12896970.629160002,-159.59163994199997,748363.9731352172,95,1,34.93263970702405,100.0
128,DOWNIEVILLE,18.5,-0.106,162.8,-0.9328,903.9732104590882,2,1,0.0,100.0
129,DUBLIN,282452.39300000004,-438.0994000000002,3127916.0000000005,-5831.805200000002,208330.78619214724,299,2,12.646947173708096,100.0
130,DURHAM,185.0,0.0,2220.0,0.0,13.932213076409099,1,1,0.0,100.0
131,EAST PALO ALTO,0.0,0.0,0.0,0.0,1763.1599855999998,1,1,0.0,100.0
132,EL CERRITO,401832.24984499987,-700.49489,4427479.63409,-9872.382056000004,183162.57684395934,1346,1,0.0,100.0
133,EL DORADO HILLS,13795.699999999999,-24.6,165548.4,-295.2,6773.0870623650135,36,2,37.92175978195998,100.0
134,EL MONTE,119920.022953,-178.22174522100005,696330.716456,-1035.6375139600002,121529.54519670701,40,1,0.0,100.0
135,EL PORTAL,0.0,0.0,0.0,0.0,39560.91981562809,6,1,0.0,100.0
136,EL SEGUNDO,17577.903168,-11.789317814,87889.51584000001,-58.946589071999995,48444.04814812829,4,1,0.0,100.0
137,EL SOBRANTE,251044.48888121996,-2394.44569,3049690.9665709985,-30108.768084299994,192640.95672882572,121,2,22.081819588733307,100.0
138,EL TORO,3214.4,0.0,38572.8,0.0,1124.84360827542,1,1,0.0,100.0
139,ELMIRA,133.78600000000003,-3.1351,677.004,-15.8548,87.2698175576482,2,1,0.0,100.0
140,EMERYVILLE,349156.8491978999,-843.3710799999999,3993190.0817548004,-11097.9661276,230760.68839503225,799,2,3.638275215918195,100.0
141,ESCALON,24555.36,-46.56,308104.32,-744.96,13850.468435570849,3,1,0.0,100.0
142,ESPARTO,0.0,0.0,0.0,0.0,1264.46001339,1,1,0.0,100.0
143,EUREKA,1900805.269083002,-20811.014527417,16315822.289294396,-171177.84297163002,1633526.7412309188,2795,3,3.5040656159415677,100.0
144,FAIRFAX,193260.2195362002,-1062.44523408,2300939.8439839976,-12233.149690400001,156145.02988116708,791,2,77.05296065526406,100.0
145,FAIRFIELD,3668954.3507218664,-17040.581383859022,34711597.86580853,-161494.15039467963,1821874.7267320284,924,4,3.531775801805682,100.0
146,FARMERSVILLE,12855.747828,-44.58975598,64278.739140000005,-222.94877989999998,47170.41483419004,2,1,0.0,100.0
147,FELTON,241666.69300000003,-1283.7525999999998,2228896.90912,-6371.264229999999,125644.75256846608,18,1,26.581149990232838,100.0
148,FERNBRIDGE,0.0,0.0,0.0,0.0,625.1500107662999,1,1,0.0,100.0
149,FERNDALE,74572.786656,-806.17697286,708050.67632,-6298.541723619999,55313.63737724995,164,2,0.0,100.0
150,FIELDBROOK,339.94820000000004,-3.646,4686.882,-58.336,199.8077175733696,4,2,0.0,100.0
151,FIELDS LANDING,7844.906800000001,-91.56239808000001,42759.534,-457.81199047,4440.887857359978,4,2,0.0,100.0
152,FILLMORE,15749.35488,-23.418605951999997,78746.7744,-117.09302976,35027.8519853025,1,1,0.0,100.0
153,FINLEY,71527.33727999999,-413.76546,389262.1304014,-2168.8631262,62804.63843049744,6,1,0.0,100.0
154,FIREBAUGH,119501.4072,-13.814536,1431579.5520000001,-148.999632,51464.87899765704,212,2,0.0,100.0
155,FIVE POINTS,40568.02,-4.74,482599.04,-32.232,31324.02422745806,10,1,12.456459667841452,100.0
156,FOLSOM,43074.0,0.0,516888.0,0.0,20014.58191837048,191,2,0.0,100.0
157,FOREST KNOLLS,811.044,-19.2176,10049.56,-238.868,1216.6641823931702,4,1,0.0,100.0
158,FOREST RANCH,279.0,0.0,3348.0,0.0,14.2829239724131,1,1,0.0,100.0
159,FORESTHILL,878.0,0.0,10536.0,0.0,43.4781621784183,3,1,0.0,100.0
160,FORESTVILLE,15331.78218458,-206.02420999999998,176145.86964380002,-2354.924264,6898.796940918337,11,1,0.0,100.0
161,FORT BRAGG,69661.431522,-447.83261678299993,550452.0507501,-4077.28539462,53340.16676728752,15,1,0.0,100.0
162,FORTUNA,289304.91093679995,1005.1139555810001,3099440.7980690002,47008.906930920006,358065.1024402415,158,1,10.264150644068632,100.0
163,FOSTER CITY,464174.99799999996,-184.0318143,3023608.8288899995,-916.6469116000001,96139.0496629666,13,2,86.18078395872821,100.0
164,FOUNTAIN VALLEY,26201.562500000004,0.0,314418.75,0.0,9423.693049150785,7,1,0.0,100.0
165,FOWLER,84149.101227,-193.25200010900002,848921.2216499998,-1729.784910542,51443.67221006344,19,1,70.70799133980516,100.0
166,FREEDOM,25565.913,-237.726,306790.956,-2852.712000000001,16735.670594193412,3,1,7.2871429550205455,100.0
167,FREMONT,4189145.550687909,-6263.748833706012,48321489.989239186,-64324.2396542246,2351006.555350034,14231,3,59.063291471273004,100.0
168,FRENCH CAMP,112990.17200000006,-96.26430000000003,925086.284,-1505.9220000000005,60798.155469514684,151,1,0.0,100.0
169,FRESNO,5874454.691619996,-8106.654178723003,60333431.43987596,-90623.34044642096,3002237.4604069605,684,5,7.372681682370569,100.0
170,FRIANT,16263.42,-186.3,257391.30000000002,-2980.7400000000002,8564.24084206962,3,1,0.0,100.0
171,FULLERTON,1050721.5500000007,0.0,11475321.449999994,0.0,530717.7887895927,90,1,19.27491449805957,100.0
172,FULTON,5679.283590000001,-82.67481000000001,59970.754872000005,-873.3803760000001,2988.48903163274,3,1,0.0,100.0
173,GARBERVILLE,20410.4792,-122.267800178,188149.11599999998,-709.83120109,6670.862372848966,62,2,0.0,100.0
174,GARDEN VALLEY,185.0,0.0,2220.0,0.0,12.8399316662954,1,1,0.0,100.0
175,GARDENA,13146.653519999998,-7.5593257729999985,65733.2676,-37.796628870000006,42208.281042329196,8,1,0.0,100.0
176,GEORGETOWN,6140.94708,-28.82142,73691.36496,-345.85704,5053.3805467616485,7,2,0.0,100.0
177,GEYSERVILLE,93111.71766674999,-645.88934,971498.9354226,-6763.021795500001,31897.266299146395,13,1,0.0,100.0
178,GILROY,2779159.0060000005,-7600.82463,24477914.342819996,-62444.04319000002,1773220.9287184274,95,3,6.82374877708098,100.0
179,GLEN ELLEN,58889.130573,-468.67346999999995,706849.6326573999,-5789.0759049,28515.955132817075,27,1,0.0,100.0
180,GOLD RUN,5783.8496,-8.480823834,61399.0212,-44.12488717,3897.281934931439,5,1,100.0,100.0
181,GOLETA,60493.622359999994,-40.576266061000005,303241.40252799995,-203.42670375700004,136099.89137071458,19,1,0.0,100.0
182,GONZALES,102710.78,-4.212,1230176.4,-37.0656,15273.977385589042,361,2,0.0,100.0
183,GRANITE BAY,3220.672,-19.367,45367.06880000001,-270.9328,5431.173093361839,5,1,0.0,100.0
184,GRASS VALLEY,735915.6256414999,-2095.3074404,8273818.6886024,-21246.03184230999,504653.9774911193,204,4,70.46580578944814,100.0
185,GRATON,469.372,-10.9602,4582.808000000001,-106.7496,1235.1912278955892,12,1,0.0,100.0
186,GREENBRAE,278.02799999999996,-6.101999999999999,2984.8759999999997,-63.3252,443.37905889412684,5,1,0.0,100.0
187,GREENFIELD,382413.85657999996,-1301.2181999999998,3632486.892463,-9818.548254,160964.86265104945,541,2,4.63971821071515,100.0
188,GREENWOOD,185.0,0.0,2220.0,0.0,12.8399316662954,1,1,0.0,100.0
189,GROVER BEACH,178879.28874400002,-1107.853237653,1576795.9967738,-9370.142260138002,101869.03307019532,126,2,0.0,100.0
190,GUADALUPE,73000.0195,-52.13927982,845903.8416,-481.7680191,29202.689652436016,270,2,0.0,100.0
191,GUALALA,4622.8,-15.925,55473.6,-191.1,3493.1428679067303,1,1,0.0,100.0
192,GUERNEVILLE,33654.989453999995,-73.02288,404951.1885254,-811.9340351999999,16502.99495993957,10,1,0.0,100.0
193,GUSTINE,149519.2052,-476.90904,1922549.3424,-7585.308480000001,88486.65877125267,285,2,0.0,100.0
194,HACIENDA HEIGHTS,45187.506,-0.81,542250.072,-9.72,20846.162768369588,2,1,0.0,100.0
195,HALF MOON BAY,55886.77600000001,-129.574,543599.9814899999,-853.30677,16365.991262640922,172,1,64.9488155814618,100.0
196,HANFORD,115711.15868000001,-400.21143930000005,751473.588939,-2454.405255,345368.00200946664,97,3,0.0,100.0
197,HAWTHORNE,114878.475504,-40.38381141400001,745323.84792,-233.49867899400002,300698.0243222397,9,1,0.0,100.0
198,HAYWARD,2427577.6014394457,-18831.45080463298,25223738.00108135,-198652.48692432084,1694410.4781724797,1665,3,9.348900499460285,100.0
199,HEALDSBURG,161079.47031999996,-1275.20623,1668600.8227899997,-13133.7680521,50696.129577311236,19,1,0.0,100.0
200,HELM,163389.20400000003,0.0,1960670.4479999994,0.0,124410.68653787642,10,1,0.0,100.0
201,HEMET,54444.5518316,-52.887405818,548428.48364,-537.08204124,25563.48474257449,25,1,0.0,100.0
202,HERCULES,257024.31270199994,-1600.4051400000003,2549406.7844080008,-16963.743755999996,165130.07047658105,51,1,0.0,100.0
203,HERMOSA BEACH,298583.434656,-21.501209985,3645690.3432799997,-107.46042192399999,539726.5328517059,48,1,80.89578060769699,100.0
204,HESPERIA,17875.581191999998,-39.547746000000004,89377.90596,-197.73873,60882.014737745405,4,1,0.0,100.0
205,HOLLISTER,1595535.8617699994,-4590.279080050998,15481088.609790003,-39634.18966025601,931755.0826700719,2295,3,32.29871492722294,100.0
206,HONEYDEW,3631.455,-66.3255,37767.13200000001,-689.7852,3295.047976561369,1,1,100.0,100.0
207,HOOPA,18054.192000000003,-129.82339327900002,98037.84000000001,-841.49596642,18058.985473256806,12,1,0.0,100.0
208,HUNTINGTON BEACH,1958349.5479040002,-117.96124688499998,22335989.939519994,-633.1012344359998,1225646.0168907207,79,1,0.0,100.0
209,HUNTINGTON PARK,51889.14,1383.84,155667.41999999998,4151.52,11283.9564144427,3,1,0.0,100.0
210,HURON,4217.2,-0.062,18516.996,-0.1674,2127.6793196056474,5,1,0.0,100.0
211,HYDESVILLE,14392.5188,-259.2297061,73257.594,-1296.1485300000004,9400.824723801266,2,2,0.0,100.0
212,INDIAN WELLS,7804.710144000002,-1.313475609,39023.55072000001,-6.567378048,100168.59540000011,7,1,0.0,100.0
213,INGLEWOOD,181450.259712,-29.116619833999998,2215377.89856,-145.58309917199998,638693.0972518277,36,1,0.0,100.0
214,INVERNESS,7071.75474,-38.55254000000001,86405.12088,-499.07528,4282.8994914635405,10,2,0.0,100.0
215,IONE,117771.43564,-895.2471500000001,1283081.7466560001,-9527.047799999998,89756.47295071633,19,1,0.0,100.0
216,IRVINE,487780.1259999991,0.0,5940373.511999994,0.0,402596.03468263854,212,2,0.0,100.0
217,IRWINDALE,26540.579520000003,-39.464687808,132702.8976,-197.32343903999998,44491.28412452368,5,1,0.0,100.0
218,ISLETON,346697.392726,-626.95233075,3919739.69764,-5757.0843637,136127.09452717204,105,2,0.0,100.0
219,JACKSON,243215.506984,-1591.2884703170005,2726310.2307854006,-17320.950145580005,210977.54830453085,49,2,0.0,100.0
220,JAMESTOWN,8894.70188,-32.070930867,66078.4594,-152.305954344,8761.571028208413,10,1,0.0,100.0
221,JUNE LAKE,4527.099999999999,-18.397,54325.2,-220.764,8815.699700486484,6,1,100.0,100.0
222,KELSEYVILLE,83140.27333000001,-712.811105821,875541.6240859001,-7135.379184549999,69937.71934102762,24,1,0.0,100.0
223,KENSINGTON,38654.34036424,-494.9348,504851.21437080007,-6321.8656,29711.904032515464,11,1,0.0,100.0
224,KENTFIELD,21736.372891999996,9.133959999999945,285273.01924000005,2231.8655199999994,21581.9574716676,20,1,0.0,100.0
225,KENWOOD,26717.129589999997,-192.69991,330786.93333599996,-2479.2664240000004,13912.7102335829,16,1,0.0,100.0
226,KERMAN,91387.226,-438.41970000000003,1126471.0704,-5776.3872,27449.454097380807,243,2,0.0,100.0
227,KING CITY,1145487.8742400005,-3188.52106,9154528.000633001,-24181.3694262,594362.9806543953,616,3,41.572108130581995,100.0
228,KINGSBURG,102094.965,-74.34,1177214.7892500001,-731.5975800000001,17583.56895869093,443,2,0.0,100.0
229,KNEELAND,3905.739,-35.298,40619.6856,-367.0992,3065.479221088,1,1,0.0,100.0
230,KNIGHTS LANDING,6851.8,-0.128,31394.565000000002,-0.3456,5260.31515977343,3,1,0.0,100.0
231,LA GRANGE,740.0,0.0,8880.0,0.0,51.3597266651816,4,1,0.0,100.0
232,LA HABRA,8207.1,57.6,131313.6,921.6,88671.79891679801,1,1,0.0,100.0
233,LA PALMA,258769.59593600003,-6.625837662000001,3024572.7796799997,-33.129188316,208343.2201070401,7,1,0.0,100.0
