city,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,Average Tax Revenue,median_household_income_usd,total_population
CATHEDRAL CITY,0.0,17.8502159030462,32.7910203052087,128515897.0,42838632.333333336,44365.0,49296
CATHEYS VALLEY,0.0,18.2073485019549,33.7495270525918,,,49628.0,2576
CAYUCOS,0.0,7.28555497728492,7.062681296506501,,,64246.0,2630
CAZADERO,0.0,3.9858529801984304,3.07731113633497,,,70517.5,3983
CEDARVILLE,0.0,10.1092876350494,13.5704376340018,,,42019.0,1307
CERES,0.75,46.6882966263278,84.8909067978308,53713979.0,17904659.666666668,52706.5,44934
CERRITOS,0.0,25.3530313670432,50.485559339134795,158028704.0,52676234.66666666,106354.0,50143
CHALLENGE,0.0,9.05758212580062,10.972379871358301,,,51490.0,4122
CHANNEL IS AIR GUARD STATION,0.0,,,,,,118
CHANNEL ISLANDS,0.0,,,,,,10
CHATSWORTH,0.0,23.3071981901833,45.8569807037457,,,91544.0,47215
CHESTER,0.0,15.6101637120335,26.7309875141885,,,66110.5,3794
CHICO,0.0434782608695652,19.496682272326698,37.041241013999205,162340118.0,54113372.66666666,50488.0,109037
CHINO,0.266666666666667,37.073581391991,71.85017026106699,173162851.0,57720950.33333334,77056.0,101292
CHINO HILLS,0.0,19.1387336923834,36.1457939210493,86564843.0,28854947.66666667,110927.0,73391
CHOWCHILLA,0.666666666666667,45.6300006258988,83.78105687980829,19055065.0,6351688.333333332,73060.0,22300
CHUALAR,0.0,23.8948188858669,47.383024341026605,,,71844.0,6527
CHULA VISTA,0.1,23.9768367322633,47.55328540799599,434388831.0,144796277.0,72848.0,249928
CITRUS HEIGHTS,0.0,17.6434101876588,32.1982595535376,102615192.0,34205064.0,59302.0,79441
CLAREMONT,0.0,26.769188101757003,53.386303443057095,71969579.0,23989859.66666667,91661.0,38213
CLAYTON,0.0,4.6000208555563304,2.94488586202548,14894867.0,4964955.666666667,139110.5,14078
CLEARLAKE,0.0,25.692695686016997,51.1287678143524,20483995.0,6827998.333333332,29052.0,11491
CLEARLAKE OAKS,0.0,18.5706027870014,34.487325009459,,,44306.5,7002
CLOVERDALE,0.0,19.3375665209529,35.9881447849666,18179773.0,6059924.333333332,68313.0,10009
CLOVIS,0.14285714285714302,20.9470676226666,40.5662756968092,172798267.0,57599422.33333334,93445.0,133683
COACHELLA,0.375,31.202001637898103,61.7290957245555,55092944.0,18364314.666666668,31700.5,47636
COALINGA,0.0,31.8377071428722,62.8326396771346,13146859.0,4382286.333333333,52173.0,18095
COARSEGOLD,0.0,12.0945997602358,18.0855088914113,,,70732.5,12361
COLFAX,0.0,8.659617038947541,10.1399924328415,6124843.0,2041614.333333333,69591.0,7188
COLTON,0.833333333333333,46.9367279724902,85.5025854458318,74505382.0,24835127.33333333,55755.0,56431
COLUSA,0.0,31.1581098544072,61.628200277462504,9855638.0,3285212.666666666,53136.5,7592
COMPTCHE,0.0,12.1177419541089,17.896329928112,,,63236.0,6135
COMPTON,1.0,58.63940803119039,95.7750031529827,191818217.0,63939405.66666666,52333.0,136845
CONCORD,0.0,17.4930250806522,31.6874763526296,289984000.0,96661333.33333331,87806.0,151412
COPPEROPOLIS,0.0,21.7929001313842,42.640938327658,,,82575.0,4694
CORCORAN,0.4,38.0419805357329,73.11766931517221,14901061.0,4967020.333333333,36456.0,23331
CORNING,0.0,31.206325767405602,61.6345062429058,17477041.0,5825680.333333332,46739.0,17805
CORONA,0.175,27.600134034913502,55.1141379745239,303874260.0,101291420.0,92458.5,249129
CORONA DEL MAR,0.0,4.8532065521564505,2.98902762012864,,,154344.0,9843
CORONADO,0.0,5.699943073240559,4.09887753815109,148971634.0,49657211.33333334,110602.0,21172
CORTE MADERA,0.0,8.21100984033994,9.049060411148929,62244928.0,20748309.33333333,146381.5,11867
COSTA MESA,0.0869565217391304,20.682952954431897,40.068104426787706,355838412.0,118612804.0,86884.0,111330
COTATI,0.0,17.4897505767036,31.655946525412997,20660193.0,6886731.0,72985.0,14516
COTTONWOOD,0.0,21.1821174899645,39.0717618867449,,,45185.5,13765
COULTERVILLE,0.0,15.120245796545598,25.375204943876902,,,39719.0,2857
COVELO,0.0,14.043833528769698,22.587968217934197,,,38345.0,2674
COVINA,0.0555555555555556,28.0101386704953,55.9969731365872,99091975.0,33030658.33333333,74942.5,87592
CRESCENT CITY,0.0,15.436532508062301,26.232816244166997,11762102.0,3920700.666666666,49233.0,26244
CRESCENT MILLS,0.0,10.2731378903562,13.784840459074301,,,43818.0,2510
CRESTLINE,0.0,30.3508593523054,60.196746121831296,,,66538.0,3171
CULVER CITY,0.0,30.832039325170697,61.0165216294615,271554477.0,90518159.0,85544.5,41077
CUPERTINO,0.0,10.7546115653419,14.6992054483542,196447606.0,65482535.33333334,170610.0,61929
CUTLER,1.0,40.9337946224201,77.3615840585194,,,42900.0,6998
CYPRESS,0.0,22.044063117069,43.08235590868961,96911577.0,32303859.0,93313.0,43083
DALY CITY,0.0,21.235190217223497,41.3229915500064,200748571.0,66916190.33333334,97461.5,114485
DANA POINT,0.0,8.04084113995141,8.89141127506619,105492545.0,35164181.666666664,104133.0,19711
DANVILLE,0.0,3.2393077059871103,1.16660360701223,72565325.0,24188441.66666667,169094.5,49140
DAVENPORT,0.0,12.8064005226053,19.6115525286921,,,100179.0,4684
DAVIS,0.0,12.5623419259485,19.132299155000602,158861658.0,52953886.0,70469.0,71684
DAVIS CREEK,0.0,19.9854380607723,38.2267625173414,,,57586.0,2441
DEATH VALLEY,0.0,29.3132108218705,58.2418968344054,,,44012.0,3054
DEL MAR,0.0,3.28944048287444,1.19813343422878,42906106.0,14302035.333333336,151534.0,22514
DEL REY,1.0,55.808025838708204,93.74448228023711,,,40573.0,3293
DELANO,0.42857142857142894,45.655829410963705,83.79366881069491,67325266.0,22441755.33333333,34127.0,40423
DELHI,0.5,40.490757088899,76.6931517215286,,,54413.0,12422
DENAIR,0.0,31.3049805258845,61.85521503342171,,,82280.0,13833
DESCANSO,0.0,14.6780874983104,24.3536385420608,,,92908.0,2235
DESERT CENTER,0.0,32.493707255606296,63.94248959515701,,,39922.5,7998
DESERT HOT SPRINGS,0.0,15.0691409706667,25.274309496784,40536839.0,13512279.666666664,31778.0,48809
DIAMOND BAR,0.0,20.070927947534198,38.415941480640704,65813015.0,21937671.666666668,106642.0,46130
DINUBA,0.8,48.30342821568979,87.03493504855591,50721038.0,16907012.666666668,54744.0,32347
DISCOVERY BAY,0.0,16.9366727118517,30.192962542565304,,,121688.0,9370
DIXON,0.0,23.1419144534122,45.4660108462606,55726851.0,18575617.0,87639.0,27647
DOS PALOS,1.0,51.840162947234106,90.5095220078194,4536757.0,1512252.333333333,40040.5,9043
DOWNEY,0.272727272727273,34.4554172522091,67.4359944507504,220835936.0,73611978.66666667,74231.0,112322
DUARTE,0.166666666666667,35.7190945242305,69.6241644595788,35408504.0,11802834.666666664,70321.5,29214
DUBLIN,0.0,12.980596783884499,19.9772985244041,283718026.0,94572675.33333331,124338.0,37942
DUNNIGAN,0.0,14.1388156412628,22.7519233194602,,,65350.0,5722
DUNSMUIR,0.0,12.9738567909583,19.9646865935175,2923865.0,974621.6666666665,35433.0,2012
DURHAM,0.0,17.6688896707395,32.336990793290504,,,84811.0,5834
EARLIMART,0.5,43.76429792744571,80.5587085382772,,,31262.5,14978
EARP,0.0,7.98891073525969,8.399545970488079,,,33276.0,1312
EDWARDS,0.0,24.158553604936298,47.975785092697706,,,77244.0,2827
EL CAJON,0.0625,22.2728584017316,43.5805271787111,195770046.0,65256682.0,68526.5,164462
EL CENTRO,0.45454545454545503,39.0269858934719,74.48606381637029,87949618.0,29316539.33333333,46194.0,65394
EL CERRITO,0.0,11.3661559174352,15.903644848026198,68530224.0,22843408.0,107813.0,30762
EL DORADO,0.0,7.491157461257429,7.352755706898731,,,83527.0,2467
EL DORADO HILLS,0.0,4.26299321308504,2.25122966326145,,,146439.5,33927
EL MONTE,1.0,53.5752122517222,92.07970740320341,219130286.0,73043428.66666667,52436.0,98427
EL SEGUNDO,0.166666666666667,15.566122555675301,26.567032412662396,194778081.0,64926027.0,109929.0,16731
EL SOBRANTE,0.0,15.697904540208098,27.1850170261067,,,85388.5,21101
ELDORADO NTL FOREST,0.0,10.0857860311111,13.4947660486821,,,65179.0,3668
ELK,0.0,9.34748652268622,11.640812208349098,,,50357.0,2210
ELK CREEK,0.0,23.7283720614015,46.916382898221705,,,47321.0,1956
ELK GROVE,0.0,16.762379148683802,29.751544961533604,207050831.0,69016943.66666667,91885.0,185304
ELVERTA,0.0,15.6199605993079,26.7814352377349,,,73926.5,9109
EMERYVILLE,0.4,35.6832388829894,69.5863286669189,134910892.0,44970297.333333336,79679.0,37271
ENCINITAS,0.0,10.1769143530339,13.519989910455301,193017536.0,64339178.66666666,112693.0,55060
ENCINO,0.0,19.2559123698782,36.4863160549881,,,82994.0,49070
ESCALON,0.5,35.979406520556296,69.3719258418464,10279976.0,3426658.666666666,69036.0,13379
ESCONDIDO,0.0,19.6614611620391,37.4700466641443,243391287.0,81130429.0,81216.0,191297
ESSEX,0.0,35.262994729476496,68.9620380880313,,,31845.0,1343
EUREKA,0.0,15.294096316976301,25.9175179720016,78488452.0,26162817.33333333,52197.5,49398
EXETER,0.0,24.447924912644897,48.820784462101095,12684916.0,4228305.333333333,46890.0,15992
FAIR OAKS,0.0,16.681623006927598,29.562365998234302,,,89861.0,42933
FAIRFAX,0.0,3.84907286602061,1.7152226005801499,27889662.0,9296554.0,111060.0,9682
FAIRFIELD,0.0,24.524973014116398,48.839702358431104,304222431.0,101407477.0,80596.5,119471
FALLBROOK,0.0,22.0687943344373,43.2336990793291,,,71889.0,44391
FARMERSVILLE,1.0,39.8990521326372,75.8355404212385,14207660.0,4735886.666666667,32096.0,5422
FARMINGTON,0.0,27.646707158029102,55.164585698070404,,,94940.0,5330
FELTON,0.0,6.36814857267937,5.41051835035944,,,98578.0,4781
FERNDALE,0.0,16.035750813591303,27.8345314667676,2294478.0,764826.0,50896.0,3309
FIDDLETOWN,0.0,19.824163116077603,37.9114642451759,,,58788.0,4748
FILLMORE,0.0,30.0251996412576,59.57245554294371,18597707.0,6199235.666666668,75633.5,19999
FIREBAUGH,1.0,41.5319312953489,78.2191953588094,10261058.0,3420352.666666666,50556.0,11116
FOLSOM,0.0,5.69767680957582,4.086265607264471,223853178.0,74617726.0,115527.5,78159
FONTANA,0.6206896551724139,41.5943234739368,78.3453146676756,312637598.0,104212532.66666669,64676.0,221813
FOOTHILL RANCH,0.0,10.001036290156302,13.2425274309497,,,131378.0,5662
FOREST RANCH,0.0,13.4546082358919,21.137596165973,,,109444.0,4753
FORESTHILL,0.0,11.5830352804143,16.3828982217177,,,79802.0,6903
FORESTVILLE,0.0,10.3775451077883,14.1947282128894,,,66913.5,8376
FORKS OF SALMON,0.0,11.2845178159183,15.714465884727002,,,50865.0,3625
FORT BRAGG,0.0,21.1912669703202,41.3040736536764,20389620.0,6796540.0,49522.0,12078
FORT IRWIN,0.0,22.490787345885895,44.192205826712105,,,54787.0,9872
FORT JONES,0.0,14.485599925601699,23.710430066843198,890706.0,296902.0,44545.0,1733
FORTUNA,0.0,23.5242697857525,45.9200403581789,17571716.0,5857238.666666668,48872.5,9342
FOUNTAIN VALLEY,0.0,23.4596708930373,46.4371295245302,137721744.0,45907248.0,93454.0,53847
FOWLER,1.0,51.3261088602299,90.2005297010972,13479812.0,4493270.666666667,47406.0,5177
FRAZIER PARK,0.0,17.1618874079227,30.836171017782803,,,44912.0,7686
FREMONT,0.0,16.557274788702,29.2092319334091,705689160.0,235229720.0,135033.5,227727
FRENCH CAMP,1.0,56.146220021606396,94.0850044141758,,,53250.0,6299
FRESNO,0.664,46.1699524896131,84.4494892167991,849627432.0,283209144.0,43839.0,591168
FULLERTON,0.2,27.111497584931804,54.1241013999244,230208631.0,76736210.33333333,84479.0,155957
GALT,0.0,23.077667621500698,45.409257157270794,37964718.0,12654906.0,67401.5,29404
GARBERVILLE,0.0,10.0760366999651,13.456930256022199,,,65283.0,3241
GARDEN GROVE,0.14285714285714302,29.691373592290002,58.8598814478497,313557155.0,104519051.66666669,67875.0,190024
GARDENA,0.8,56.2954421370201,94.2048177575987,142671233.0,47557077.66666666,56535.0,79331
GEORGETOWN,0.0,14.0868211617028,22.6762517341405,,,64883.0,7911
GERBER,0.0,29.9017830108499,59.213015512675,,,47661.0,4315
GEYSERVILLE,0.0,15.512533595095501,26.421995207466303,,,104792.0,3644
GILROY,0.2,27.4546912384708,54.597048808172595,132694169.0,44231389.66666666,96547.5,62228
GLEN ELLEN,0.0,7.464265916973879,7.32753184512549,,,117167.0,4782
GLENDALE,0.6052631578947371,42.37458612969821,79.3416572077185,514683096.0,171561032.0,62305.5,188222
GLENDORA,0.0,20.4756769897012,39.5257913986631,85176260.0,28392086.66666667,88611.0,55146
GLENN,0.0,13.334131437999,20.910581410013897,,,65000.0,1594
GOLETA,0.0,7.72947084494689,7.78156135704376,79722144.0,26574048.0,96250.0,56967
GONZALES,0.0,26.192328294311,52.2260058014882,13714502.0,4571500.666666667,54205.0,5469
GRANADA HILLS,0.0,26.845681091031498,53.5628704754698,,,105386.0,58564
GRAND TERRACE,0.5,39.4319696655605,74.0761760625552,13478392.0,4492797.333333333,64860.5,18063
GRANITE BAY,0.0,5.2310106585778895,3.44305713204692,,,136534.5,25063
GRASS VALLEY,0.0,11.8711295215193,17.467524277967,43207378.0,14402459.333333336,76103.5,47806
GREENBRAE,0.0,5.588140253062369,3.9349224366250497,,,194808.0,12130
GREENFIELD,0.0,22.196177757479703,43.3976541808551,21125795.0,7041931.666666668,63827.0,18424
GRIDLEY,0.0,22.3395056636715,43.7507882456804,7918765.0,2639588.333333333,62756.0,11949
GROVER BEACH,0.0,14.683622733698199,24.397780300163998,26760953.0,8920317.666666666,64127.5,13535
GUERNEVILLE,0.0,11.495387417868303,16.244166981965,,,60331.0,7577
GUSTINE,1.0,52.1336533982758,90.8941858998613,6580991.0,2193663.666666666,60521.0,8712
HACIENDA HEIGHTS,0.42857142857142894,34.040032623694,66.6036070122336,,,85044.5,56972
HALF MOON BAY,0.0,16.1789372600633,28.509269769201698,46348862.0,15449620.666666664,145873.0,11860
HANFORD,0.384615384615385,38.953303554797294,74.3473325766175,83416244.0,27805414.66666667,55670.0,72726
HARBOR CITY,0.375,35.874002205208896,69.8574851809812,,,66904.0,30013
HAWAIIAN GARDENS,0.5,37.4823655426676,71.3961407491487,26278329.0,8759443.0,50196.0,10762
HAWTHORNE,0.75,45.9489073336936,84.1026611174171,197009382.0,65669794.0,52779.5,104391
HAYFORK,0.0,9.02440049353383,10.8967082860386,,,31712.0,3182
HAYWARD,0.0555555555555556,29.5292983802132,58.601336864673996,467224536.0,155741512.0,81092.5,176116
HEALDSBURG,0.0,19.0824289678434,35.9944507504099,47630835.0,15876945.0,96324.0,19524
HEMET,0.12,31.218981466779297,61.659730104679,125934873.0,41978291.0,41531.0,116515
HERALD,0.0,6.949588898277639,6.52036826838189,,,91136.0,2300
HERCULES,0.0,18.3525723903719,34.153108840963604,35619267.0,11873089.0,122232.0,22381
HERLONG,0.0,12.018400186554599,17.606255517719802,,,55184.0,3209
HERMOSA BEACH,0.0,5.84004235859885,4.36372808677008,85675375.0,28558458.33333333,136285.0,19539
HESPERIA,0.0666666666666667,27.6335654581229,55.139361836297105,94458935.0,31486311.66666667,52117.0,102311
HIGHLAND,0.125,27.717325511031,55.3033169378232,63515653.0,21171884.33333333,63529.0,45961
HILMAR,0.0,35.31124864641,68.9998738806911,,,62500.0,9060
HINKLEY,0.0,33.0735071912399,64.9451381006432,,,60229.0,11133
HOLLISTER,0.0,31.8790873258475,62.920923193340904,69688403.0,23229467.66666667,91935.0,51064
HOLTVILLE,0.0,36.7225982354957,71.24479757850929,5405648.0,1801882.666666667,56885.0,8625
HOMELAND,0.0,31.622601861694303,62.4290578887628,,,54185.0,5371
HOOPA,0.0,12.046452178909199,18.110732753184603,,,40739.5,5686
HOPLAND,0.0,9.56794489374656,12.2083490982469,,,58900.0,2051
HORNBROOK,0.0,18.7110769558495,35.0233320721402,,,39327.0,656
HUGHSON,1.0,40.8416988975396,77.2985244040863,7089129.0,2363043.0,79705.0,8359
HUNTINGTON BEACH,0.0238095238095238,12.4796790466399,18.9052843990415,484982227.0,161660742.33333334,98057.5,197574
HUNTINGTON PARK,0.954545454545455,51.9755871776414,90.73023079833521,89389533.0,29796511.0,45434.0,74249
HURON,0.5,40.0165841774917,75.8418463866818,5279306.0,1759768.666666667,33216.5,8085
IDYLLWILD,0.0,27.5946995661729,55.0006305965443,,,60341.0,1122
IGO,0.0,20.6101805169587,39.828477739942,,,56250.0,3575
IMPERIAL,0.0,37.089149438197,71.9132299155001,20463245.0,6821081.666666668,81764.0,14848
IMPERIAL BEACH,0.0,23.6553655585216,46.7398158658091,35882284.0,11960761.333333336,56479.0,27315
INDEPENDENCE,0.0,18.131410700287002,33.560348089292496,,,53382.0,2284
INDIAN WELLS,0.0,7.92950902108071,9.5535376466137,61437788.0,20479262.666666668,92366.0,3942
INDIO,0.166666666666667,25.225425538965503,50.239626686845796,174066354.0,58022118.0,55134.5,92025
INGLEWOOD,0.65625,44.590602973018896,82.34960272417709,349011310.0,116337103.33333331,53807.5,131234
IONE,0.0,27.926025844134198,55.7258166225249,6978794.0,2326264.666666666,66348.0,10220
