city,median_household_income_usd
Beverly Hills,129977
Fort Irwin,54787
Willits,47007
Springville,44020
Linden,87554
Morro Bay,64250
Alturas,34423
Yreka,47258
Calimesa,64086.5
Phelan,62120
Bradley,55764
Half Moon Bay,145873
Copperopolis,82575
Scotia,39778
El Segundo,109929
Antelope,77566
Thousand Palms,49495
Lincoln,87333
Redwood Valley,60312.5
Stonyford,51806
Wilton,93375.5
Montrose,67407
Laguna Hills,125709
Berry Creek,40071
Carpinteria,72540
Calabasas,144351
Walnut Creek,122536.5
Auburn,76104.5
Rohnert Park,65119
Cupertino,170610
Porter Ranch,125625.5
Nevada City,75250
Fair Oaks,89861
Igo,56250
Litchfield,56964
Winchester,113571
Novato,117007
Playa del Rey,138929
Saint Helena,91889
Nipomo,84102
Yosemite NTL Park,55994
Dublin,124338
White Water,38514
Sausalito,105913
Clearlake Oaks,44306.5
San Carlos,189914
Portola,53169
Davis Creek,57586
Calpine,52148
Hercules,122232
Fiddletown,58788
Pescadero,147545
Pine Grove,78352
San Clemente,104167
Bishop,66582
Stevenson Ranch,134546.5
Kelseyville,62384.5
Mariposa,64432
Westlake Village,110840.5
Pleasanton,159412
Placerville,66163.5
Kings Canyon National PK,64156
Lower Lake,34567.5
Korbel,43125
Desert Hot Springs,31778
Dana Point,104133
Malibu,149026
Oceano,70270
Encinitas,112693
Carlsbad,111054
La Palma,111169
Hornbrook,39327
Pinon Hills,52357
Winters,85861
Lytle Creek,46974
American Canyon,104042
Shandon,87311
Pioneer,57032
Santa Cruz,83911
Catheys Valley,49628
Independence,53382
Crescent City,49233
Ojai,77596.5
Cassel,50264
Alpine,100290
South Lake Tahoe,63703.5
Durham,84811
Mendocino NTL Forest,54827
Sonoma,82737.5
Los Padres NTL Forest,53355
Shasta Lake,50435
Lake Arrowhead,79053
Soda Springs,56500
South Pasadena,120521
Avalon,74028
McArthur,45421
Belmont,143295
Sebastopol,92198
Palm Desert,62337
Klamath,38977
Susanville,53983.5
Quincy,53581
Campbell,130811.5
Elverta,73926.5
Chester,66110.5
Acton,105263
Potter Valley,59348
Llano,53830
Travis AFB,69369
Angels Camp,54840
La Canada Flintridge,167043
Anza,50674
Poway,117856
Magalia,55908
Leggett,38274
Montague,46303
Macdoel,32089.5
Lebec,59028
Orangevale,85862
Port Hueneme CBC Base,52727
Grover Beach,64127.5
Santa Margarita,94133
Ferndale,50896
Shingletown,51879
Albany,102361
Pleasant Hill,127916.5
Termo,43207
Joshua Tree,34306
Oak View,89249.5
Ramona,109508.5
Nice,47472
Geyserville,104792
Blocksburg,35163
Rocklin,94821
Mountain Ranch,43695
Hoopa,40739.5
Valyermo,84219
Coulterville,39719
Strawberry Valley,64844
Bonsall,82250
Goleta,96250
Monterey,79146
Wrightwood,64841
Julian,58558
Descanso,92908
Valley Center,96978
Pacific Palisades,212386
La Jolla,97395
Fort Jones,44545
MI Wuk Village,65625
Folsom,115527.5
Sloughhouse,104901
Truckee,110808
Philo,44896
Shaver Lake,73239
Dunnigan,65350
Coarsegold,70732.5
Georgetown,64883
Covelo,38345
Point Arena,57558
Warner Springs,50156
Mammoth Lakes,59620
La Quinta,65565.5
Jamul,124464
Bridgeport,61827
Blue Lake,55000
Laguna Niguel,111727
Forestville,66913.5
Coronado,110602
Forest Ranch,109444
Rancho Santa Margarita,107389
Glenn,65000
Lakehead,49265
Pacifica,125082
Pauma Valley,95164
Trinidad,47583
Dunsmuir,35433
Atascadero,73061
Raymond,55694
Lewiston,44310.5
Davenport,100179
Burlingame,129585
Templeton,92588
Kings Beach,58094
Bridgeville,54286
Silverado,102031
Penn Valley,52500
San Ramon,149437.5
Arnold,64291
Solana Beach,114972
Middletown,68814
Los Osos,76587
Wilseyville,37679
Mount Shasta,44844
Somes Bar,36960
Comptche,63236
Sierra Madre,101167.5
Herlong,55184
Bayside,61554
Stanford,63000
Calistoga,85226
Capitola,76519
Indian Wells,92366
Shingle Springs,86543.5
Laguna Beach,146472
Alta,75563
Guerneville,60331
Modoc Shasta Klamath for,36731
Loomis,104185
Foresthill,79802
Pollock Pines,83115
Somerset,55184
Solvang,82940
Markleeville,63750
Forks of Salmon,50865
Angwin,96705
Manhattan Beach,169612.5
Aliso Viejo,108687
Camino,90795
Yountville,69300
Aptos,102500
Montgomery Creek,58000
Rancho Mirage,82097
Los Gatos,167875
McKinleyville,59089
Moss Beach,105066
Crescent Mills,43818
Greenbrae,194808
Cedarville,42019
Eldorado NTL Forest,65179
Garberville,65283
Rancho Palos Verdes,143721
Murphys,48321
Foothill Ranch,131378
San Marino,165208.5
Orinda,224318
Penngrove,108370
Hopland,58900
Elk,50357
Blairsden-Graeagle,67121
Ben Lomond,93123
Los Olivos,99583
Arroyo Grande,89204.5
Challenge,51490
Hayfork,31712
Corte Madera,146381.5
Los Altos,215250
Newcastle,86250
Colfax,69591
Palos Verdes Peninsula,189427.5
Cardiff By the Sea,119855
