county,enrollment,number_of_schools,free_meal_count,perc_eligible_free,frmp_count,perc_eligible_frpm,lcff,no_title1,perc_title1,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,irr,population,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na,number
SIERRA,432,5,185,0.4282407407,199,0.4606481481,0,0,0,0,0,0,0,0,0,0,19.96548266,38.20153866,52148,0.6149941,18008,6002.66667,16780,5593.33333,0.93180809,100,33.3333333,0.00555309,458,152.666667,0.02543314,128,42.6666667,0.00710795,24,8,0.00133274,46
SISKIYOU,6066,43,3499,0.5768216288,3972,0.6547972305,6743387,2,0.04651162791,0,0,0,0,0,0,0,14.69954927,24.30949678,45241,0.557350419,261422,87140.6667,225160,75053.3333,0.86128941,3900,1300,0.01491841,13302,4434,0.05088325,3998,1332.66667,0.01529328,914,304.666667,0.00349626,47
SOLANO,62980,110,26344,0.4182915211,31404,0.4986344871,46718215,7,0.06363636364,109050.7476,58765.52936,16,2,0,100,0.05208333333,21.7992194,42.64093833,81472,0.377800437,2673758,891252.667,1600504,533501.333,0.59859718,396192,132064,0.14817796,33750,11250,0.01262268,427106,142368.667,0.15973996,27636,9212,0.01033601,48
SONOMA,68198,208,25416,0.3726795507,30753,0.4509369776,163918885,19,0.09134615385,22083.5684,12346.99024,11,2,0,100,0.0101010101,14.81024382,24.65632488,81018,0.392294571,2990896,996965.333,2600062,866687.333,0.86932545,61184,20394.6667,0.02045675,64838,21612.6667,0.02167845,134476,44825.3333,0.04496178,12022,4007.33333,0.00401953,49
STANISLAUS,110372,203,65779,0.5959754286,74195,0.6722266517,89254817,11,0.05418719212,0,1742.39,12,1,0,100,0.6489361702,44.07540583,81.64964056,60704,0.393360261,3287006,1095668.67,2744600,914866.667,0.83498479,113810,37936.6667,0.03462421,65164,21721.3333,0.01982473,198938,66312.6667,0.06052255,30016,10005.3333,0.00913171,50
SUTTER,23308,46,12942,0.5552599966,14897,0.6391367771,53768190,8,0.1739130435,8252.878,13085.88107,7,2,0,100,0.04761904762,27.29001288,54.40786984,59050,0.45473087,579046,193015.333,422620,140873.333,0.72985566,15606,5202,0.02695123,13634,4544.66667,0.02354563,97828,32609.3333,0.16894685,2466,822,0.00425873,51
TEHAMA,11107,45,6997,0.6299630863,8026,0.7226073647,4041014,1,0.02222222222,69295,47175.44933,10,2,0,100,0,26.96350594,53.82772102,44514,0.518114144,385898,128632.667,348724,116241.333,0.90366885,3934,1311.33333,0.0101944,12822,4274,0.0332264,5508,1836,0.0142732,858,286,0.00222339,52
TRINITY,1579,18,901,0.5706143129,1070,0.6776440785,650651,1,0.05555555556,0,0,0,0,0,0,0,8.569741274,9.837306092,40846,0.585870254,75156,25052,65534,21844.6667,0.87197296,550,183.333333,0.00731811,3888,1296,0.0517324,1034,344.666667,0.01375805,164,54.6666667,0.00218213,53
TULARE,105028,192,72879,0.6939006741,80332,0.7648627033,89491857,7,0.03645833333,233476.2846,77860.76869,9,5,0,100,0.4487179487,38.0609887,73.2122588,49687,0.436561598,2786184,928728,2458782,819594,0.88249089,60638,20212.6667,0.02176382,77210,25736.6667,0.02771174,110440,36813.3333,0.03963844,6326,2108.66667,0.00227049,54
TUOLUMNE,6042,25,2584,0.427672956,2900,0.4799735187,6428602,1,0.04,0,0,0,0,0,0,0,21.28900905,41.36713331,60108,0.518851624,325682,108560.667,294432,98144,0.90404751,6544,2181.33333,0.02009322,7466,2488.66667,0.0229242,4600,1533.33333,0.01412421,896,298.666667,0.00275115,55
VENTURA,135291,218,58826,0.4348108891,70930,0.5242772986,69723950,12,0.05504587156,1371597.361,891071.1465,332,8,2.50934995,100,0.04624277457,17.98371115,33.09370665,88131,0.36874757,5086384,1695461.33,4284202,1428067.33,0.84228835,120450,40150,0.02368087,94112,31370.6667,0.01850273,396284,132094.667,0.07791075,14590,4863.33333,0.00286844,56
YOLO,30533,66,13195,0.4321553729,14982,0.4906822127,24241319,4,0.06060606061,0,0,0,0,0,0,0.09756097561,18.63739569,34.80892925,70228,0.43782709,1318190,439396.667,979252,326417.333,0.74287622,38894,12964.6667,0.02950561,23416,7805.33333,0.01776375,196666,65555.3333,0.14919397,7518,2506,0.00570327,57
YUBA,14746,44,9030,0.6123694561,10096,0.6846602468,14878844,3,0.06818181818,0,0,0,0,0,0,0.2142857143,31.54048804,62.23357296,58054,0.46933823,465606,155202,366036,122012,0.78614966,20316,6772,0.04363346,13504,4501.33333,0.02900306,33910,11303.3333,0.07282982,2422,807.333333,0.00520182,58
