city,dac_proportion,ces_score_median,ces_percentile_median
San Pedro,0.478260869565217,32.1333935387978,63.3118930508261
Pacoima,0.708333333333333,47.4596723979489,86.1016521629462
Carson,0.777777777777778,46.6039863434772,84.8467650397276
Hanford,0.384615384615385,38.9533035547973,74.3473325766175
Wilmington,1,52.6941012652479,91.2410139992433
Oakland,0.231481481481482,26.6557826668719,53.2854079959642
Norwalk,0.857142857142857,44.7481211660299,82.4946399293732
Lynwood,1,52.074628837898,90.8311262454282
Corona,0.175,27.6001340349135,55.1141379745239
MC Farland,1,41.9618032652417,78.6858368016143
Pico Rivera,0.769230769230769,45.7810823390748,84.0206835666541
Los Banos,0.8,50.5343925987854,89.3681422625804
Oxnard,0.153846153846154,23.7359697208613,46.9668306217682
Redlands,0.2,29.6401451155796,58.6707024845504
Whittier,0.4,36.5148097345115,70.8601336864674
El Centro,0.454545454545455,39.0269858934719,74.4860638163703
Anaheim,0.366666666666667,34.963111826092,68.3566654054736
Manteca,0.666666666666667,42.370855231013,79.392104931265
La Puente,0.708333333333333,44.960022313971,82.7784083743221
Porterville,0.461538461538462,39.6883785480068,75.5643839071762
Ceres,0.75,46.6882966263278,84.8909067978308
Delano,0.428571428571429,45.6558294109637,83.7936688106949
Santa Fe Springs,0.8,52.7143718021222,91.3671333081095
Montclair,0.875,50.4006861534687,89.2357169882709
Madera,0.615384615384615,41.8354678211335,78.5597174927481
Mendota,1,55.876892673003,93.7760121074537
Panorama City,0.666666666666667,42.0788149024953,78.8750157649136
Montebello,0.8,42.1351376757519,78.9632992811199
Perris,0.615384615384615,42.7709636752701,79.8839702358431
Richmond,0.5,38.4867668812896,73.3446840711313
Tulare,0.428571428571429,39.0457303578442,74.5049817127002
Pittsburg,0.571428571428571,41.250752617335,77.7651658468912
Upland,0.444444444444444,29.0570273022943,57.5230167738681
French Camp,1,56.1462200216064,94.0850044141758
Buena Park,0.307692307692308,26.6679153477097,53.3106318577374
Hacienda Heights,0.428571428571429,34.040032623694,66.6036070122336
Del Rey,1,55.8080258387082,93.7444822802371
Burbank,0.32,30.600463594069,60.638163702863
Fullerton,0.2,27.1114975849318,54.1241013999244
Sanger,0.375,33.8149916150878,66.1243536385421
Ballico,1,55.1368083122297,93.3787362845252
West Sacramento,0.375,29.4599925041301,57.8698448732501
Grand Terrace,0.5,39.4319696655605,74.0761760625552
Barstow,0.666666666666667,46.0529617693803,84.1278849791903
Garden Grove,0.142857142857143,29.69137359229,58.8598814478497
Dinuba,0.8,48.3034282156898,87.0349350485559
Maywood,1,53.1604118560972,91.6761256148316
San Jose,0.0707070707070707,19.2547818766575,36.4358683314416
Adelanto,0.5,35.9087986728929,68.4512548871233
Dos Palos,1,51.8401629472341,90.5095220078194
Downey,0.272727272727273,34.4554172522091,67.4359944507504
Calexico,0.8,47.950086139874,86.6565771219574
Wasco,0.5,48.1169237359895,86.8457560852567
Pixley,1,52.6579306703247,91.2473199646866
Kingsburg,0.666666666666667,43.1772773846103,80.350611678648
La Habra,0.384615384615385,36.4733213500283,70.7403203430445
Santa Ana,0.283333333333333,34.3043086431297,67.2215916256779
Gustine,1,52.1336533982758,90.8941858998613
Indio,0.166666666666667,25.2254255389655,50.2396266868458
McClellan,1,52.068349925805,90.8059023836549
San Francisco,0.0612244897959184,14.7613390638241,24.5365115399168
Bellflower,0.777777777777778,43.7010551879948,81.1577752553916
Fowler,1,51.3261088602299,90.2005297010972
Highland,0.125,27.717325511031,55.3033169378232
Atwater,0.5,40.4898417245263,76.5733383781057
Rosemead,0.5,39.6414039865453,75.4634884600833
Loma Linda,0.666666666666667,44.4991967733144,82.2550132425274
Visalia,0.333333333333333,33.8925608413596,66.4459578761509
Shafter,1,46.8733750178413,85.2881826207592
Chowchilla,0.666666666666667,45.6300006258988,83.7810568798083
Gilroy,0.2,27.4546912384708,54.5970488081726
Earlimart,0.5,43.7642979274457,80.5587085382772
Rialto,0.631578947368421,41.4865769924517,78.1435237734897
Kettleman City,1,50.2414806333629,89.0402320595283
Tracy,0.25,33.5751184082983,65.8468911590365
San Pablo,0.454545454545455,37.9116171404785,73.0356917644091
Orosi,1,49.5640310812124,88.4348593769706
Chula Vista,0.1,23.9768367322633,47.553285407996
Kerman,1,46.0438331534453,84.3107579770463
Lodi,0.2,29.5655779313659,58.5067473830244
San Fernando,0.428571428571429,38.0681355732225,73.237482658595
Stanton,0.333333333333333,35.1609490065858,68.1422625804011
Corcoran,0.4,38.0419805357329,73.1176693151722
El Cajon,0.0625,22.2728584017316,43.5805271787111
National City,0.428571428571429,35.9126033437654,69.8070374574348
Lost Hills,1,48.6345588799614,87.4132929751545
Brawley,0.8,40.807800678283,77.2354647496532
Mira Loma,0.285714285714286,36.4275382469048,70.689872619498
Cantua Creek,1,48.1788985782029,86.9214276705764
Vallejo,0.161290322580645,24.2948173438712,48.4550384663892
Palo Alto,0.105263157894737,8.70025459485765,10.2408878799344
La Mirada,0.2,20.9298338512424,40.6167234203557
Caruthers,1,47.8971132505558,86.6187413292975
Lawndale,0.5,40.447061662589,76.5481145163325
Olivehurst,0.25,32.7576238046827,64.2451759364359
Harbor City,0.375,35.8740022052089,69.8574851809812
Alhambra,0.15,33.7021514496415,66.143271534872
West Covina,0.166666666666667,31.516248474518,62.2714087526801
Strathmore,1,47.4011935226312,85.9881447849666
Monterey Park,0.0666666666666667,31.1431129872599,61.5209988649262
Patterson,1,46.0287042642887,84.2729221843864
Coachella,0.375,31.2020016378981,61.7290957245555
Azusa,0.307692307692308,34.5535797850558,67.54950182873
Duarte,0.166666666666667,35.7190945242305,69.6241644595788
Chico,0.0434782608695652,19.4966822723267,37.0412410139992
Emeryville,0.4,35.6832388829894,69.5863286669189
Clovis,0.142857142857143,20.9470676226666,40.5662756968092
Hemet,0.12,31.2189814667793,61.659730104679
Reseda,0.375,38.0452445284536,73.237482658595
Antioch,0.0555555555555556,27.3541733760503,54.3574221213268
Orange Cove,1,45.71140713246,83.7747509143649
Westminster,0.176470588235294,30.1993888927042,59.8310001261193
Westmorland,1,46.1461073211682,84.4242653550259
Santa Monica,0.0526315789473684,21.4684091721075,41.9977298524404
Lakewood,0.111111111111111,21.4432562138325,41.7139614074915
Placentia,0.166666666666667,21.4392045959508,41.5626182368521
Buttonwillow,1,45.8523115807531,84.0963551519738
Rancho Cordova,0.125,29.3143832808474,58.2355908689621
Mecca,1,45.6588286370156,83.8062807415815
Firebaugh,1,41.5319312953489,78.2191953588094
San Leandro,0.136363636363636,30.2697555592203,59.9697313658722
Sylmar,0.272727272727273,33.8878706781717,66.5279354269139
Livingston,1,44.4721415961496,82.2171774498676
Watsonville,0.133333333333333,22.8393202942374,44.7471307857233
Tipton,1,44.8716688205111,82.633371169126
Moss Landing,0.5,40.0723956254229,75.8166225249086
Chino,0.266666666666667,37.073581391991,71.850170261067
Beaumont,0.111111111111111,26.8838180309754,53.6385420607895
Wofford Heights,0.5,38.7849985518581,73.6410644469669
Alviso,1,44.5241671921009,82.2802371043007
Calipatria,0.5,44.3510352216366,82.0784462101148
Riverdale,1,44.3408674294614,82.0658342792281
Yuba City,0.0625,25.7338726660834,51.2359692268886
Marysville,0.25,33.6095592077413,66.0675999495523
Winton,1,42.8365181548642,79.9785597174927
Northridge,0.214285714285714,32.1939546617404,63.513683945012
Newman,0.5,41.7451845882975,78.3705385294489
Tarzana,0.125,32.3721219876486,63.7280867700845
Lemoore,0.333333333333333,35.1270223670186,68.5647622651028
Snelling,1,43.9487273111046,81.5361331819902
Huron,0.5,40.0165841774917,75.8418463866818
Victorville,0.1875,33.1444064662898,65.165846891159
Hawaiian Gardens,0.5,37.4823655426676,71.3961407491487
North Hills,0.333333333333333,36.6904253972625,71.2700214402825
California Hot Springs,1,43.6636636630582,81.0947156009585
Canoga Park,0.25,32.6823961106571,64.308235590869
Salinas,0.05,26.3347002734365,52.5539160045403
