county,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,tot_lcff,no_title1_status,number_of_schools,perc_title1_status,kWh,budget,claims,programs,perc_obf,perc_resource,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,irr,total_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na
MODOC,1394,874,941,0.62697274,0.675035868,0,0,12,0,0,0,0,0,0,0,0,16.52539825,29.25337369,45507,0.60969562,53034,17678,46940,15646.6667,0.88509258,712,237.333333,0.01342535,2644,881.333333,0.04985481,636,212,0.01199231,180,60,0.00339405
MONO,1933,950,1137,0.491464046,0.588204863,2791106,0,13,0,8572.14336,56166.42263,5,2,0,100,0,13.79902457,21.95737167,62260,0.599739529,86402,28800.6667,78010,26003.3333,0.90287262,700,233.333333,0.00810166,2490,830,0.02881878,2170,723.333333,0.02511516,304,101.333333,0.00351844
MONTEREY,77370,50608,56283,0.654103658,0.727452501,19781317,6,135,0.044444444,521655.1106,299173.9807,25,2,0,100,0.043010753,22.94952193,45.08134695,71015,0.426751382,2605090,868363.333,2158604,719534.667,0.82861014,90542,30180.6667,0.0347558,67582,22527.3333,0.02594229,174772,58257.3333,0.06708866,15820,5273.33333,0.00607273
NAPA,20027,8116,9673,0.405252909,0.482997953,8030172,1,44,0.022727273,158.24,1252.071157,2,2,0,100,0,14.90709121,24.89595157,88596,0.439768059,832822,277607.333,698940,232980,0.83924296,20234,6744.66667,0.02429571,10390,3463.33333,0.01247566,72642,24214,0.08722392,3372,1124,0.00404888
NEVADA,11524,5086,5773,0.441339813,0.50095453,41322577,4,42,0.095238095,0,0,0,0,0,0,0,12.93097238,19.98360449,66096,0.462420172,597260,199086.667,558000,186000,0.93426648,3590,1196.66667,0.00601078,7520,2506.66667,0.01259083,8388,2796,0.01404413,1194,398,0.00199913
ORANGE,473446,204355,231136,0.431633175,0.488199288,191566183,30,640,0.046875,3079804.842,1556537.8,448,9,4.113843662,100,0.121993127,21.11432815,41.0770589,90234,0.167891882,19051908,6350636,13639820,4546606.67,0.71592934,404180,134726.667,0.02121467,195032,65010.6667,0.01023687,4064080,1354693.33,0.21331617,73726,24575.3333,0.00386974
PLACER,75217,17831,21117,0.237060771,0.280747703,80424738,13,136,0.095588235,365.30568,1173.56944,1,1,0,100,0,8.681462014,10.19044016,89691,0.419322816,2351548,783849.333,1985032,661677.333,0.84413841,44182,14727.3333,0.01878847,25040,8346.66667,0.0106483,186996,62332,0.07952038,6246,2082,0.00265612
PLUMAS,2219,978,1263,0.440739072,0.569175304,3051575,1,14,0.071428571,0,0,0,0,0,0,0,15.06034749,25.24908564,55359,0.564573053,112416,37472,102034,34011.3333,0.9076466,1178,392.666667,0.01047894,3582,1194,0.03186379,1210,403.333333,0.01076359,178,59.3333333,0.0015834
RIVERSIDE,431395,239719,280868,0.555683307,0.651069206,277599853,21,515,0.040776699,1702072.959,1570852.061,2543,7,0,100,0.222958057,27.8028861,55.51771976,67005,0.367669403,14662598,4887532.67,11700786,3900262,0.79800224,1058452,352817.333,0.07218721,279752,93250.6667,0.01907929,1035270,345090,0.07060618,65390,21796.6667,0.00445965
SACRAMENTO,249411,129576,149979,0.519528008,0.60133274,346099807,33,391,0.084398977,0,8225.002498,2,2,0,100,0.138801262,24.41737186,48.71988902,67151,0.287298945,9236210,3078736.67,5830510,1943503.33,0.6312665,1003926,334642,0.10869458,143176,47725.3333,0.0155016,1548606,516202,0.16766682,117844,39281.3333,0.01275891
