SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
COALINGA,210288.777,-170.7930028,1913133.202,-1189.738454,54218.71551,591,2,0,100,0,31.83770714,62.83263968,13146859,52173,18095,7,7,13146859
COARSEGOLD,49681.443,-234.084,642819.8712,-3477.4176,20641.20544,7,1,0,100,0,12.09459976,18.08550889,,70732.5,12361,6,6,-111123464.8
COLFAX,7543,-20.87,86808.5,-194.809,2838.185382,30,2,0,100,0,8.659617039,10.13999243,6124843,69591,7188,2,2,6124843
COLUSA,1902.15,-20.637,19782.36,-214.6248,1631.909785,2,1,0,100,0,31.15810985,61.62820028,9855638,53136.5,7592,7,7,9855638
CONCORD,1030959.021,-4054.885651,8820023.589,-38254.91861,594691.2615,712,1,15.16682778,100,0,17.49302508,31.68747635,289984000,87806,151412,1,1,289984000
COPPEROPOLIS,1300.02534,-5.23692,13520.26354,-54.463968,1478.380558,1,1,0,100,0,21.79290013,42.64093833,,82575,4694,10,10,-149615596.5
CORCORAN,66692,0,800304,0,4473.78769,345,1,0,100,0.4,38.04198054,73.11766932,14901061,36456,23331,4,4,14901061
CORNING,115242.68,0,1382912.16,0,15793.3863,443,2,0,100,0,31.20632577,61.63450624,17477041,46739,17805,5,5,17477041
CORONA,2495850.081,-7.18221504,29892458.8,-35.9110752,1071545.117,413,1,0,100,0.175,27.60013403,55.11413797,303874260,92458.5,249129,1,1,303874260
CORONA DEL MAR,21522.04738,-2.367336861,246423.3869,-20.4662843,19366.0719,16,1,31.75633495,100,0,4.853206552,2.98902762,,154344,9843,1,1,-123765070.1
CORTE MADERA,61005.82086,-327.5011297,686255.3857,-3516.487311,39199.55583,59,3,50.51509619,100,0,8.21100984,9.049060411,62244928,146381.5,11867,1,1,62244928
COSTA MESA,275678.9738,-33.00275053,3041041.323,-217.6606131,148945.5584,80,1,52.66421996,100,0.086956522,20.68295295,40.06810443,355838412,86884,111330,1,1,355838412
COTATI,271937.381,-1462.216178,2973171.66,-14905.48583,109152.812,403,2,0,100,0,17.48975058,31.65594653,20660193,72985,14516,1,1,20660193
COULTERVILLE,6691.725804,-73.33265,67879.94836,-720.57556,5142.6919,3,1,0,100,0,15.1202458,25.37520494,,39719,2857,10,10,-158838244.9
CULVER CITY,432360.5808,-220.476172,3299000.621,-1243.737263,740226.9071,38,1,42.58739523,100,0,30.83203933,61.01652163,271554477,85544.5,41077,1,1,271554477
CUPERTINO,484013.78,-925.5338478,3682651.993,-6865.912139,247370.6091,372,2,3.752406839,100,0,10.75461157,14.69920545,196447606,170610,61929,1,1,196447606
DALY CITY,716892.7038,-3760.39246,7729328.143,-38558.51471,524365.7901,1368,2,66.72300116,100,0,21.23519022,41.32299155,200748571,97461.5,114485,1,1,200748571
DANVILLE,222325.9862,-287.87186,2063115.223,-2698.460191,113364.0322,509,3,0,100,0,3.239307706,1.166603607,72565325,169094.5,49140,1,1,72565325
DAVIS,351784.3874,-353.21354,4043706.655,-3887.77068,189874.1432,54,3,10.68853244,100,0,12.56234193,19.13229916,158861658,70469,71684,1,1,158861658
DEL REY,37284.881,0,243368.5022,0,19428.71665,9,1,0,100,1,55.80802584,93.74448228,,40573,3293,2,2,-156649309.3
DELHI,12495,0,149940,0,44447.8348,130,1,95.55306462,100,0.5,40.49075709,76.69315172,,54413,12422,1,1,-110817214.7
DINUBA,190540,0,2286480,0,127050.2436,1203,1,18.83783576,100,0.8,48.30342822,87.03493505,50721038,54744,32347,5,5,50721038
DISCOVERY BAY,4923.4,-46.904,59080.8,-562.848,6226.449272,4,1,0,100,0,16.93667271,30.19296254,,121688,9370,3,3,-126139764
DIXON,587500.8375,-1336.478518,6423303.008,-8843.383649,333415.9587,1093,4,0,100,0,23.14191445,45.46601085,55726851,87639,27647,5,4,55726851
DOS PALOS,121536.86,-294.8703,1543559.52,-4717.9248,231156.5394,630,3,88.64074857,100,1,51.84016295,90.50952201,4536757,40040.5,9043,8,8,4536757
