SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
SAN RAFAEL,1119960.679,-5323.611967,11473788.44,-49703.23499,875477.2003,3558,2,26.31002978,100,0,10.72676884,14.66767562,210321883,96313,72139,1,1,210321883
SAN RAMON,517024.39,-562.051305,5855840.39,-6601.28538,149317.1351,2142,2,1.704857196,100,0,6.177989246,5.032160424,124315838,149437.5,86097,1,1,124315838
SANGER,337088.147,-506.6696,3664679.439,-7893.6228,100033.9402,785,2,0,100,0.375,33.81499162,66.12435364,31723224,73114.5,47464,2,2,31723224
SANTA ANA,1236913.901,-1392.642,11305834.87,-11209.464,660939.0923,33,1,96.47024788,100,0.283333333,34.30430864,67.22159163,599152417,72977,369465,1,1,599152417
SANTA BARBARA,411744.3327,-203.668357,3338520.056,-1643.537551,747495.3978,137,3,28.91033618,100,0,10.42881989,14.07491487,343060421,94509,145719,2,2,343060421
SANTA CLARITA,11225.8,0,134709.6,0,6543.937515,5,1,0,100,0,11.45789193,16.02976416,331043409,113299,51656,2,2,331043409
SANTA CRUZ,2629816.759,8547.487366,18865260.79,23259.57596,1463472.83,263,4,53.46282133,100,0,12.70988003,19.42237357,227343878,83911,106510,1,1,227343878
SANTA MARGARITA,4618.12752,-18.55809002,54261.66672,-218.0520901,3114.482086,2,1,0,100,0,16.06286718,27.87236726,,94133,6793,1,1,-139077578.4
SANTA MARIA,4346289.79,-11881.49233,46065883.16,-116113.3683,1681966.298,2646,3,3.487358423,100,0,20.81678144,40.35817884,176067163,73568.5,158111,2,2,176067163
SANTA MONICA,1048313.962,-78.38151498,11700812.5,-417.5812807,1017249.869,212,2,60.74468547,100,0.052631579,21.46840917,41.99772985,833735521,95417,91577,1,1,833735521
SANTA PAULA,33680.04478,-26.23106841,281006.3639,-131.6513181,53051.10028,18,1,27.40905089,100,0,23.02319783,45.21377223,34632590,69960,39386,2,2,34632590
SANTA ROSA,7937848.786,-23056.09924,88833306.9,-235916.4788,3415741.144,11014,5,3.089814525,100,0.025641026,17.33482715,31.20191701,408725410,76341,219348,1,1,408725410
SARATOGA,231117.2626,-432.242,1887732.622,-3501.3187,103323.8453,207,2,58.72721256,100,0,6.433643291,5.530331694,56055186,194503,30858,1,1,56055186
SAUSALITO,101756.1227,-649.97147,997912.3362,-6207.64664,92215.04446,75,1,0,100,0,9.616915982,12.33446841,39365612,105913,10548,1,1,39365612
SCOTIA,40224.4329,-656.1536999,319022.9179,-5119.1093,28432.24261,8,1,0,100,0,21.77249054,42.5904906,,39778,4347,7,7,-151357708.1
SCOTTS VALLEY,462066.207,-1969.553196,3436024.482,-12961.16758,220525.3763,54,1,51.51340077,100,0,6.997327605,6.583427923,31563210,107500,8746,1,1,31563210
SEASIDE,1117590.4,-3232.71804,10719622.68,-27912.13394,542886.4871,1254,2,65.81169469,100,0,16.82425784,29.92180603,86167784,56359,26914,1,1,86167784
SEBASTOPOL,348052.3002,-1982.38195,3797213.74,-21170.97844,186586.0433,167,1,0,100,0,11.81940291,17.13961407,24836702,92198,25746,2,2,24836702
SELMA,180001.962,-39.267,2024077.534,-408.3768,100866.2172,1036,1,0,100,1,50.50260285,89.37444823,42445076,46896.5,35199,3,3,42445076
SHAFTER,1043188.859,-5034.048771,9858536.076,-47979.05648,428008.1034,104,1,5.313099098,100,1,46.87337502,85.28818262,63669637,46052,23656,2,2,63669637
SHINGLE SPRINGS,158718.3804,-474.55461,1803195.384,-4985.26072,113514.3019,19,1,0,100,0,9.496108145,11.97502838,,86543.5,34244,1,1,-1259982.849
SIMI VALLEY,2309.553648,-3.4347276,12402.77098,-18.44864208,5119.148931,3,1,0,100,0,17.59676871,32.00908059,193391526,93237,128176,1,1,193391526
SODA SPRINGS,320,0,3840,0,14.91231423,1,1,0,100,0,17.09184826,30.5839324,,56500,3754,5,5,-154334861.3
SOLEDAD,997892.5187,-5371.96743,7882316.094,-35206.89917,444892.45,637,2,44.9972617,100,0,26.24812937,52.37734897,26247590,66655.5,24958,4,4,26247590
SOLVANG,28023,0,336276,0,1920.180568,149,1,0,100,0,11.36137432,15.87842099,24223243,82940,6445,4,4,24223243
SOMES BAR,1880.0811,-31.1382,19552.84344,-323.83728,1493.192987,1,1,0,100,0,12.15129708,17.94677765,,36960,1834,10,10,-163974210.8
SOMIS,82127.99682,-0.569202228,698822.5041,-2.84601114,56464.99997,2,1,0,100,0,22.20211742,43.41026611,,98565,8366,2,2,-131180340.5
SONOMA,515944.8252,-2699.24736,5884407.493,-30165.97657,251138.4499,337,2,7.12512258,100,0,13.38187621,21.03039475,42831807,82737.5,36263,7,7,42831807
SONORA,217479.3296,-369.8628609,2582756.871,-4520.522853,158242.837,18,1,10.97791303,100,0,19.88699362,37.34392736,20450527,56070,21270,4,4,20450527
SOQUEL,246206.244,-716.965,2955749.396,-6552.9508,148153.7727,26,1,0,100,0,6.356260832,5.372682558,,105221,3229,1,1,-156970621
SOUTH EL MONTE,38319.1874,-57.00146,227633.1853,-338.7792164,76799.50765,23,1,0,100,1,55.12307837,93.26522891,39193055,49417.5,39515,1,1,39193055
SOUTH PASADENA,28545.70572,-42.44622329,142728.5286,-212.2311164,47852.57619,6,1,0,100,0,10.46228801,14.12536259,69222562,120521,25661,1,1,69222562
SOUTH SAN FRANCISCO,628629.7601,-2870.027912,3798535.458,-21033.73356,263871.3339,55,1,12.68754967,100,0.181818182,18.2830425,33.97654181,294543622,106402,67118,1,1,294543622
STANFORD,10360,0,124320,0,7983.035467,56,1,0,100,0,8.874482723,10.86517846,,63000,20872,1,1,-68394035.82
STEVENSON RANCH,20073.6,0,240883.2,0,9165.00476,1,1,0,100,0,13.84808485,22.93479632,,134546.5,12035,2,2,-112760146.1
STOCKTON,5587206.633,-14710.98965,60556813.89,-158973.5191,3763514.386,8264,5,7.430532517,100,0.630136986,42.2460576,79.13986631,702319574,49219,363335,6,6,702319574
SUISUN CITY,912587.2751,-1929.664269,10712781.9,-19883.81141,439094.8635,559,2,6.410450712,100,0,20.66799941,40.0176567,31694227,79974,26469,1,1,31694227
SUN CITY,22106.68198,-19.25721862,106844.4459,-93.07266112,110512.1746,5,1,0,100,0,23.04033901,45.26421995,,69531,63822,1,1,147236204.6
SUNNYVALE,2615312.522,-2814.100703,26403001.75,-22329.77905,1043242.844,6810,4,25.4182287,100,0,15.67362723,26.92647244,450307639,146566,159933,1,1,450307639
SUTTER CREEK,145804.8417,-816.0211306,1630460.784,-8656.353519,135809.8384,35,1,0,100,0,26.54064656,52.95749779,4552576,56864,4675,7,7,4552576
TAFT,396875.1472,-1794.495841,3671881.887,-15860.01822,276790.1178,484,2,2.725294129,100,0.666666667,39.72641244,75.6211376,12051096,35718,17248,4,4,12051096
TEMECULA,37.2,-0.0339,446.4,-0.4068,95.67492917,1,1,0,100,0,15.21369988,25.67158532,276748683,99653,127231,2,2,276748683
TEMPLETON,267609.515,-1198.50922,2669110.995,-14026.01673,148648.7238,164,3,11.93721636,100,0,10.65950584,14.76857107,,92588,14011,1,1,-102839648.9
THOUSAND OAKS,47700.0818,-70.92794772,238500.409,-354.6397386,290420.4972,6,1,0,100,0,11.33988927,16.13696557,226976306,121187.5,79305,1,1,226976306
TORRANCE,189239.0594,-118.2337111,1710864.488,-984.7293764,414119.0496,39,2,0,100,0.162162162,25.32696195,50.47925337,512015370,89463.5,182791,1,1,512015370
TRACY,2017663.031,-3200.360452,19662874.31,-32364.52831,1200237.677,1725,4,12.81817608,100,0.25,33.57511841,65.84689116,226114037,82916.5,123469,2,2,226114037
TRINIDAD,26761.859,-451.0681403,295044.9896,-4947.903961,24406.35228,28,2,0,100,0,13.0274848,20.1286417,1812274,47583,2775,5,5,1812274
TRUCKEE,1478.52,-8.5988,15432.64,-86.8652,1633.529579,3,1,0,100,0,6.407040281,5.524025728,82745031,110808,18279,4,4,82745031
TULARE,71650.62,0,573204.96,0,17927.50202,1,1,0,100,0.428571429,39.04573036,74.50498171,111458928,47017,72613,2,2,111458928
TUSTIN,5827.094,0,69925.128,0,2353.142921,4,2,0,100,0,22.62834031,44.39399672,159816348,88761,88473,1,1,159816348
UKIAH,231261.2371,-972.2012784,2468965.392,-10629.74895,170084.4652,28,2,0,100,0,24.68063193,49.31264977,50276065,49135,26453,4,4,50276065
UNION CITY,365581.3463,-1184.9752,3738122.759,-12236.76483,249485.9454,977,2,36.66554945,100,0.125,23.39988382,46.09030143,154635136,116875,81064,1,1,154635136
VACAVILLE,4863504.318,-10956.18042,49640437.81,-104143.8193,2187779.377,3044,4,24.26137008,100,0,17.03700048,30.50826081,261334918,94659,106828,2,2,261334918
VALENCIA,16728,0,200736,0,9729.723966,4,1,0,100,0,13.68796373,21.69252112,,111042,70275,2,2,179633455.9
VALLEJO,1609408.462,-8678.151142,16584409.79,-84310.18349,894711.6525,1327,3,8.041261008,100,0.161290323,24.29481734,48.45503847,263619424,70417,122876,1,1,263619424
VALLEY SPRINGS,18282.88626,-103.95414,202166.5399,-1146.681504,19284.46529,4,1,7.307332601,100,0,20.83972852,40.04918653,,72865,17895,3,3,-83340048.06
VENTURA,906599.3612,36753.98621,13021453.01,588244.3311,823356.7688,9,1,0,100,0.08,19.78211039,37.8105688,278789652,78115,109566,2,2,278789652
VICTORVILLE,94067.20521,-139.9342433,821031.22,-1134.986689,301762.6743,36,2,0,100,0.1875,33.14440647,65.16584689,170667834,54880,135177,1,1,170667834
VISALIA,6415752.218,-156.6540549,95919140.94,-1215.585221,948406.2337,21,1,0,100,0.333333333,33.89256084,66.44595788,269522684,58713,159505,1,1,269522684
WALNUT CREEK,204788.533,-666.510275,1825942.537,-6322.205072,149316.048,545,1,12.3604517,100,0,9.048853866,10.94715601,183611285,122536.5,97658,1,1,183611285
WASCO,220766.3001,-1312.783465,2062786.252,-10935.75166,89943.9863,50,1,0,100,0.5,48.11692374,86.84575609,23647051,43879,27297,4,4,23647051
WATSONVILLE,2835102.842,-13809.31202,24891487.45,-120979.2667,1534907.835,289,2,54.13464208,100,0.133333333,22.83932029,44.74713079,115522757,68214,88671,2,2,115522757
WEST COVINA,0,0,0,0,134816.9959,1,1,0,100,0.166666667,31.51624847,62.27140875,167832707,88330.5,104339,1,1,167832707
WEST HOLLYWOOD,19595.5515,-29.1377331,97977.7575,-145.6886655,48607.49522,8,1,0,100,0,19.07648124,35.98183882,221253537,94315,20977,1,1,221253537
WEST SACRAMENTO,413489.9282,-1424.59808,4150214.539,-15760.23155,258486.1909,64,2,46.96469231,100,0.375,29.4599925,57.86984487,202036329,82773.5,45454,1,1,202036329
WESTLAKE VILLAGE,1275.9894,-1.89734076,6379.947,-9.4867038,2837.904675,1,1,0,100,0,11.59906002,16.44595788,37535299,110840.5,17146,1,1,37535299
WHEATLAND,39460,0,473520,0,2665.749749,206,1,0,100,0,25.75194716,51.24227519,6414899,77303,4652,2,2,6414899
WHITTIER,46504.62,-8.91,580959.81,-103.95,27780.54958,4,1,0,100,0.4,36.51480973,70.86013369,129417527,74819,183516,1,1,129417527
WILDOMAR,5019.631344,-4.370541084,25098.15672,-21.85270542,12383.84427,11,1,0,100,0,22.91926328,45.02459327,29236953,85335,34552,1,1,29236953
WILLIAMS,146558.7949,-457.497807,1705506.645,-5271.708945,68066.7281,7,1,31.93387463,100,0,25.81831426,51.40623029,11785217,66143,5963,8,8,11785217
WILLITS,188872.042,-1473.399907,1970209.169,-14627.94289,148690.5938,20,1,0,100,0,19.92642867,37.74120318,12618622,47007,12690,7,7,12618622
WILLOWS,21903.579,-109.89,210352.9446,-1016.6904,24265.41087,7,1,54.44533799,100,0,35.1167247,68.63412788,10963024,44004,7118,7,7,10963024
WINDSOR,436177.6798,-893.1963383,5060097.443,-9490.148611,112789.1686,1386,2,0,100,0,16.08930725,28.23811326,50138809,105544,21434,1,1,50138809
WINTON,2775,0,33300,0,9236.816894,29,2,99.86099181,100,1,42.83651815,79.97855972,,48057.5,9800,1,1,-123980951.4
WOODLAND,526910.0579,-288.6821886,5986636.618,-3137.043203,278715.8263,358,2,9.537818639,100,0,19.03141067,35.86833144,134378568,71184,68805,1,1,134378568
YORBA LINDA,100589.028,-23.217678,1207068.336,-278.612136,230594.6335,12,1,100,100,0,14.37930234,23.43296759,108191037,137520.5,63982,1,1,108191037
YOSEMITE NATIONAL PARK,8894,-51.06,78267.2,-449.328,18234.38254,4,1,0,100,0,20.14769097,38.74385168,,55994,1702,10,10,-164636916.1
YOUNTVILLE,16598.67248,-37.547,158077.8507,-258.09656,4901.835174,57,2,0,100,0,10.84848779,14.90730231,32212771,69300,2987,7,7,32212771
YUBA CITY,898299.6068,-1693.655181,9530011.21,-20746.77036,637530.0859,450,3,25.82280142,100,0.0625,25.73387267,51.23596923,95292052,60333.5,77902,2,2,95292052
