SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median
BEVERLY HILLS,415702.04736,-0.7483069440000001,4735782.556799999,-3.74153472,408832.0557123836,35,1,0.0,100.0,0.0,15.7137565328316,27.0525917517972,624117511.0,129977.0,40656.0,1,1
BISHOP,4205.905568,-30.413515984,58325.54956800001,-421.76068987199994,59918.969655676025,6,1,68.74180269903589,100.0,0.0,11.680303891974,16.67297263211,19159702.0,66582.0,16336.0,8,8
BLUE LAKE,26643.8683,-86.91884847,286190.87613999995,-627.3821124,13781.319390154538,118,2,0.0,100.0,0.0,13.785485884885,21.9069239500568,1492422.0,55000.0,3346.0,5,5
BLYTHE,370829.52,0.0,5387171.49,0.0,91649.45262033332,13,1,86.41792655524988,100.0,0.166666666666667,32.6340786777761,64.226258040106,18987392.0,45481.5,14924.0,4,4
BOULDER CREEK,110122.700376,-725.8075600000003,873304.8980146998,-6480.776145199999,61971.34270607803,29,1,50.57901988149254,100.0,0.0,8.4018745080666,9.46525413040736,,114562.0,10622.0,2,2
BRADLEY,1465.0,0.0,17580.0,0.0,72.48918860066381,5,1,0.0,100.0,0.0,22.002929316529396,42.9814604615967,,55764.0,4462.0,10,10
BREA,56907.36,0.0,187794.288,0.0,27135.703524635097,1,1,0.0,100.0,0.0,23.8095858896062,47.130785723294295,138957376.0,92739.0,46522.0,1,1
BRENTWOOD,213533.70700000128,-158.95487156000004,2044249.3418979875,-3062.0273822000013,171549.1583232353,955,2,53.00995739849722,100.0,0.0,23.644392841458696,46.6956741077059,130696354.0,122573.5,78554.0,2,2
BRIDGEPORT,51932.95000000001,-320.4469,612469.906,-3822.4133,111743.87375343779,29,1,100.0,100.0,0.0,13.7990245749186,21.957371673603202,,61827.0,2444.0,10,10
BRIDGEVILLE,7859.1214,28.4714,85884.23856000003,283.97328,7382.0123158596825,4,1,0.0,100.0,0.0,12.522487628619098,19.0314037079077,,54286.0,4179.0,5,5
BRISBANE,309040.373,-785.4254000000003,2611663.19781,-6367.17147,127604.29497247464,58,1,30.84034940841313,100.0,0.0,36.7666527696717,71.38352881826209,48761941.0,113484.0,5051.0,1,1
BUENA PARK,208320.370016,1260.810956399,2631190.7088,20191.30179935,125532.6164026616,34,1,49.393619449775954,100.0,0.307692307692308,26.667915347709695,53.3106318577374,168369439.0,89351.0,80669.0,1,1
BURLINGAME,1331067.259,-4042.5826175320003,11938748.37299,-39096.95757766,537631.7989973895,920,3,33.9720378518941,100.0,0.0,8.76631742804852,10.3670071888006,204650697.0,129585.0,42760.0,1,1
BURNEY,8857.665,-14.597999666,98025.876,-72.98999832300001,10321.75528831893,5,1,100.0,100.0,0.0,25.722482910550895,51.1792155378988,,47408.0,4881.0,7,7
BUTTONWILLOW,164338.92449000006,-703.07328,1892584.9869216003,-7872.726093200001,78305.35565433776,19,1,0.0,100.0,1.0,45.852311580753096,84.0963551519738,,45781.0,3415.0,10,10
CALISTOGA,212789.11454102004,-701.44185876,2431401.3556199004,-8366.324570259998,88825.42096924082,271,2,0.0,100.0,0.0,10.9897781729756,15.3865556816749,36440152.0,85226.0,6684.0,8,8
CAMARILLO,26280.54115763001,-16.471986111,140118.1598314,-86.308003288,49969.767575035214,9,1,0.0,100.0,0.0,14.929971655055098,24.9463992937319,118667215.0,105452.0,79627.0,1,1
CAMBRIA,50718.60659000001,-396.96617,626969.6569373001,-4970.221779900002,19600.02680502434,80,2,0.0,100.0,0.0,3.42598351416407,1.32425274309497,,74036.0,8388.0,8,8
CAMINO,4154.83416,-36.13185,49858.00992,-433.5822,3354.113980844292,2,1,0.0,100.0,0.0,10.9108246712798,14.982973893303098,,90795.0,3495.0,4,4
CAMPBELL,473185.0184,-1565.7446906899993,4870550.9937499985,-14969.167363499999,338893.25570145197,565,2,6.191652892387836,100.0,0.0,13.654276887697,21.635767435994506,120771924.0,130811.5,44176.0,1,1
CANYON COUNTRY,31891.44,0.0,382697.28,0.0,23534.47675638563,3,2,0.0,100.0,0.0,23.849400713850894,47.28212889393371,,85637.0,73789.0,2,2
CAPITOLA,351178.62996000005,-1655.8058099999994,2633696.493171,-11135.280680700002,154072.8939078952,26,1,28.994666040868395,100.0,0.0,11.7538378250281,16.937823180729,41633696.0,76519.0,11739.0,1,1
CARMEL,157141.538,-1449.5060000000005,1619132.1759,-14712.376500000002,90717.01788277355,38,1,32.55874153605679,100.0,0.0,1.93228901434379,0.340522133938706,,99337.0,21923.0,4,2
CARMEL VALLEY,30851.149000000005,-188.4,356436.24139,-2182.96947,19611.902000471644,7,1,0.0,100.0,0.0,14.361367760209598,24.990541051835,,73199.0,11768.0,3,3
CARPINTERIA,4805.7264,-2.867965041,28580.596704000003,-14.906479262000001,10809.526021990996,4,1,0.0,100.0,0.0,21.0853788096845,41.026611174170796,30597609.0,72540.0,13619.0,1,1
CARSON,931403.692288,6040.052618724,9843807.82844,18058.363093622,472207.0479576218,109,2,35.83050645037119,100.0,0.7777777777777779,46.6039863434772,84.84676503972759,208784719.0,79687.5,83730.0,1,50
CARUTHERS,23185.278,-114.822,292627.7712,-1194.1488,10472.480396433772,2,1,0.0,100.0,1.0,47.89711325055581,86.6187413292975,,45587.0,5068.0,2,2
CASTAIC,90940.26,0.0,1091283.12,0.0,52234.364001257214,20,1,0.0,100.0,0.0,14.498582575928099,23.7545718249464,,120072.5,30663.0,2,2
CASTRO VALLEY,324351.01943822013,-3565.4259600000005,3354823.8070586002,-36932.236714,224983.16434695545,91,2,0.0,100.0,0.0,12.2798828645537,18.3188296128138,,123005.5,68146.0,1,1
CASTROVILLE,206877.143,-1592.6589999999999,1643394.8892299999,-9269.295150000004,122974.92419905926,24,2,0.0,100.0,0.0,31.328699738923397,61.836297137091705,,66063.0,15986.0,2,2
CAYUCOS,18655.46744,-52.85779,101876.11261680002,-310.0363113,13042.578515109506,11,2,0.0,100.0,0.0,7.28555497728492,7.062681296506502,,64246.0,2630.0,2,2
CAZADERO,352.74800000000016,-8.2834,2716.824,-63.9208,377.10451098764725,4,1,0.0,100.0,0.0,3.9858529801984304,3.07731113633497,,70517.5,3983.0,6,6
CERRITOS,8785.8,0.0,105429.6,0.0,2267.635220201866,3,1,100.0,100.0,0.0,25.3530313670432,50.485559339134795,158028704.0,106354.0,50143.0,1,1
CHATSWORTH,1377.6,0.0,16531.2,0.0,842.5557075702161,1,1,0.0,100.0,0.0,23.3071981901833,45.8569807037457,,91544.0,47215.0,1,1
CHICO,1541790.9815999994,-1720.531373624,17508478.976800002,-17025.708316165998,1293355.7239177502,4523,5,16.253040242747648,100.0,0.0434782608695652,19.496682272326694,37.04124101399921,162340118.0,50488.0,109037.0,1,1
CHOWCHILLA,461350.7819999998,-390.20399911999993,5196954.479600001,-3879.26719558,198932.87688557472,336,2,7.861166601112743,100.0,0.666666666666667,45.6300006258988,83.78105687980829,19055065.0,73060.0,22300.0,7,7
CHUALAR,98910.981,-622.6740000000002,1064718.972,-7472.088000000002,62023.26814244574,3,1,0.0,100.0,0.0,23.8948188858669,47.38302434102661,,71844.0,6527.0,2,2
CLAREMONT,118775.87750000002,0.0,1425310.5299999998,0.0,49810.317790852816,10,1,66.61051497856921,100.0,0.0,26.769188101757003,53.386303443057095,71969579.0,91661.0,38213.0,1,1
CLAYTON,56473.20302000001,-245.09834161,481983.41606,-1585.2397081,33937.22711075337,74,2,0.0,100.0,0.0,4.60002085555633,2.94488586202548,14894867.0,139110.5,14078.0,1,1
CLEARLAKE,381931.6878,-1718.9025320299993,4219673.747156402,-18988.68160469,224622.9935736608,57,2,6.0614888185795985,100.0,0.0,25.692695686016997,51.1287678143524,20483995.0,29052.0,11491.0,4,4
CLEARLAKE OAKS,48434.09215800001,-680.44902,506520.1799986,-7023.218399400002,32304.51729680145,8,1,0.0,100.0,0.0,18.5706027870014,34.487325009459,,44306.5,7002.0,4,4
CLOVERDALE,255002.11828,-713.0857492700003,2911958.5448802,-7591.843271600002,115774.55701605756,26,1,0.0,100.0,0.0,19.3375665209529,35.9881447849666,18179773.0,68313.0,10009.0,2,2
CLOVIS,1719822.479,-1690.458305965,17801171.812479995,-17907.764639724,886236.7007018812,7733,3,11.05423328977326,100.0,0.14285714285714302,20.9470676226666,40.5662756968092,172798267.0,93445.0,133683.0,2,2
COALINGA,210288.777,-170.79300278899998,1913133.20238,-1189.738453947,54218.71551400743,591,2,0.0,100.0,0.0,31.8377071428722,62.8326396771346,13146859.0,52173.0,18095.0,7,7
COARSEGOLD,49681.44299999999,-234.084,642819.8712,-3477.4176,20641.20544102424,7,1,0.0,100.0,0.0,12.0945997602358,18.0855088914113,,70732.5,12361.0,6,6
COLFAX,7543.0,-20.87,86808.5,-194.80900000000003,2838.1853823024408,30,2,0.0,100.0,0.0,8.659617038947541,10.1399924328415,6124843.0,69591.0,7188.0,2,2
COLUSA,1902.15,-20.637,19782.36,-214.6248,1631.90978542043,2,1,0.0,100.0,0.0,31.1581098544072,61.628200277462504,9855638.0,53136.5,7592.0,7,7
CONCORD,1030959.0213670024,-4054.885650539998,8820023.588520791,-38254.91861090007,594691.2615064015,712,1,15.166827780701572,100.0,0.0,17.4930250806522,31.6874763526296,289984000.0,87806.0,151412.0,1,1
COPPEROPOLIS,1300.02534,-5.23692,13520.263536000002,-54.46396800000001,1478.38055773354,1,1,0.0,100.0,0.0,21.7929001313842,42.640938327658,,82575.0,4694.0,10,10
CORCORAN,66692.0,0.0,800304.0,0.0,4473.787690208487,345,1,0.0,100.0,0.4,38.0419805357329,73.11766931517221,14901061.0,36456.0,23331.0,4,4
CORNING,115242.68,0.0,1382912.16,0.0,15793.386300896887,443,2,0.0,100.0,0.0,31.206325767405602,61.6345062429058,17477041.0,46739.0,17805.0,5,5
CORONA,2495850.0806400003,-7.18221504,29892458.80320001,-35.911075200000006,1071545.1166154004,413,1,0.0,100.0,0.175,27.600134034913502,55.1141379745239,303874260.0,92458.5,249129.0,1,1
CORONA DEL MAR,21522.047376,-2.367336861,246423.38688,-20.466284304000002,19366.071896163226,16,1,31.75633495241025,100.0,0.0,4.8532065521564505,2.98902762012864,,154344.0,9843.0,1,1
CORTE MADERA,61005.82086,-327.5011297430001,686255.3857440002,-3516.487310710001,39199.55582615123,59,3,50.51509619142619,100.0,0.0,8.21100984033994,9.049060411148927,62244928.0,146381.5,11867.0,1,1
COSTA MESA,275678.973804,-33.002750531,3041041.3227840015,-217.66061311400003,148945.5584379258,80,1,52.664219958091685,100.0,0.0869565217391304,20.682952954431894,40.068104426787706,355838412.0,86884.0,111330.0,1,1
COTATI,271937.380978,-1462.2161777099993,2973171.6603983,-14905.4858342,109152.81199084352,403,2,0.0,100.0,0.0,17.4897505767036,31.655946525412997,20660193.0,72985.0,14516.0,1,1
COULTERVILLE,6691.725804,-73.33265,67879.94836159999,-720.57556,5142.691900335462,3,1,0.0,100.0,0.0,15.120245796545598,25.375204943876906,,39719.0,2857.0,10,10
CULVER CITY,432360.58080000005,-220.47617202400002,3299000.6214000005,-1243.737262998,740226.9070921891,38,1,42.58739522775478,100.0,0.0,30.832039325170694,61.0165216294615,271554477.0,85544.5,41077.0,1,1
CUPERTINO,484013.78,-925.5338477759996,3682651.9929200006,-6865.912138829999,247370.60908834505,372,2,3.75240683924704,100.0,0.0,10.7546115653419,14.6992054483542,196447606.0,170610.0,61929.0,1,1
DALY CITY,716892.7037999956,-3760.39246,7729328.142960036,-38558.51471,524365.790129288,1368,2,66.72300116468092,100.0,0.0,21.235190217223497,41.3229915500064,200748571.0,97461.5,114485.0,1,1
DANVILLE,222325.986202,-287.87186,2063115.2232439998,-2698.4601905,113364.032162439,509,3,0.0,100.0,0.0,3.2393077059871103,1.16660360701223,72565325.0,169094.5,49140.0,1,1
DAVIS,351784.3874000001,-353.21354,4043706.6552,-3887.77068,189874.1432320313,54,3,10.688532435063085,100.0,0.0,12.5623419259485,19.132299155000602,158861658.0,70469.0,71684.0,1,1
DEL REY,37284.881,0.0,243368.5022,0.0,19428.7166482552,9,1,0.0,100.0,1.0,55.80802583870821,93.74448228023712,,40573.0,3293.0,2,2
DELHI,12495.0,0.0,149940.0,0.0,44447.83480405271,130,1,95.55306461920955,100.0,0.5,40.490757088899,76.6931517215286,,54413.0,12422.0,1,1
DINUBA,190540.0,0.0,2286480.0,0.0,127050.24356852336,1203,1,18.83783575655345,100.0,0.8,48.30342821568979,87.03493504855591,50721038.0,54744.0,32347.0,5,5
DISCOVERY BAY,4923.4,-46.903999999999996,59080.8,-562.8480000000002,6226.4492718654465,4,1,0.0,100.0,0.0,16.9366727118517,30.192962542565304,,121688.0,9370.0,3,3
DIXON,587500.8374800005,-1336.4785181000004,6423303.007947996,-8843.383649300004,333415.9586610701,1093,4,0.0,100.0,0.0,23.1419144534122,45.4660108462606,55726851.0,87639.0,27647.0,5,4
DOS PALOS,121536.86,-294.8703000000001,1543559.52,-4717.924800000002,231156.53943895327,630,3,88.6407485663963,100.0,1.0,51.840162947234106,90.5095220078194,4536757.0,40040.5,9043.0,8,8
DOWNEY,1639051.6406319996,-31.918327986999998,12896970.629160002,-159.59163994199997,748363.9731352172,95,1,34.93263970702405,100.0,0.272727272727273,34.4554172522091,67.4359944507504,220835936.0,74231.0,112322.0,1,1
DUBLIN,282452.39300000004,-438.0994000000002,3127916.0000000005,-5831.8052000000025,208330.78619214726,299,2,12.646947173708096,100.0,0.0,12.980596783884499,19.9772985244041,283718026.0,124338.0,37942.0,1,1
DURHAM,185.0,0.0,2220.0,0.0,13.932213076409099,1,1,0.0,100.0,0.0,17.6688896707395,32.336990793290504,,84811.0,5834.0,2,2
EL CERRITO,401832.2498449999,-700.49489,4427479.63409,-9872.382056000004,183162.57684395934,1346,1,0.0,100.0,0.0,11.3661559174352,15.903644848026197,68530224.0,107813.0,30762.0,1,1
EL DORADO HILLS,13795.7,-24.6,165548.4,-295.2,6773.0870623650135,36,2,37.92175978195998,100.0,0.0,4.26299321308504,2.25122966326145,,146439.5,33927.0,1,1
EL MONTE,119920.022953,-178.22174522100002,696330.716456,-1035.6375139600002,121529.545196707,40,1,0.0,100.0,1.0,53.5752122517222,92.07970740320341,219130286.0,52436.0,98427.0,1,1
EL SEGUNDO,17577.903168,-11.789317814,87889.51584000001,-58.946589071999995,48444.04814812829,4,1,0.0,100.0,0.166666666666667,15.566122555675301,26.567032412662396,194778081.0,109929.0,16731.0,6,6
EL SOBRANTE,251044.48888122,-2394.44569,3049690.966570998,-30108.768084299994,192640.95672882567,121,2,22.08181958873331,100.0,0.0,15.697904540208096,27.1850170261067,,85388.5,21101.0,1,1
EMERYVILLE,349156.84919789986,-843.3710799999999,3993190.0817547995,-11097.9661276,230760.68839503225,799,2,3.6382752159181946,100.0,0.4,35.6832388829894,69.5863286669189,134910892.0,79679.0,37271.0,1,1
ESCALON,24555.36,-46.56,308104.32,-744.96,13850.468435570847,3,1,0.0,100.0,0.5,35.979406520556296,69.3719258418464,10279976.0,69036.0,13379.0,5,5
EUREKA,1900805.269083002,-20811.014527417,16315822.289294396,-171177.84297163002,1633526.7412309188,2795,3,3.5040656159415686,100.0,0.0,15.294096316976301,25.9175179720016,78488452.0,52197.5,49398.0,4,4
FAIRFAX,193260.2195362002,-1062.44523408,2300939.8439839976,-12233.1496904,156145.02988116708,791,2,77.05296065526406,100.0,0.0,3.84907286602061,1.71522260058015,27889662.0,111060.0,9682.0,2,2
FAIRFIELD,3668954.3507218654,-17040.581383859022,34711597.86580853,-161494.15039467966,1821874.7267320284,924,4,3.531775801805681,100.0,0.0,24.524973014116398,48.839702358431104,304222431.0,80596.5,119471.0,1,1
FARMERSVILLE,12855.747828,-44.58975598,64278.73914000001,-222.9487799,47170.414834190036,2,1,0.0,100.0,1.0,39.8990521326372,75.8355404212385,14207660.0,32096.0,5422.0,1,1
FELTON,241666.69300000003,-1283.7525999999998,2228896.90912,-6371.264229999999,125644.75256846608,18,1,26.581149990232838,100.0,0.0,6.36814857267937,5.41051835035944,,98578.0,4781.0,1,1
FERNDALE,74572.786656,-806.17697286,708050.67632,-6298.541723619999,55313.63737724995,164,2,0.0,100.0,0.0,16.035750813591303,27.8345314667676,2294478.0,50896.0,3309.0,10,10
FILLMORE,15749.35488,-23.418605951999997,78746.7744,-117.09302976,35027.8519853025,1,1,0.0,100.0,0.0,30.0251996412576,59.57245554294371,18597707.0,75633.5,19999.0,4,4
FIREBAUGH,119501.4072,-13.814536,1431579.552,-148.99963200000005,51464.87899765704,212,2,0.0,100.0,1.0,41.5319312953489,78.2191953588094,10261058.0,50556.0,11116.0,9,10
FOLSOM,43074.0,0.0,516888.0,0.0,20014.58191837048,191,2,0.0,100.0,0.0,5.69767680957582,4.086265607264471,223853178.0,115527.5,78159.0,1,1
FOREST RANCH,279.0,0.0,3348.0,0.0,14.2829239724131,1,1,0.0,100.0,0.0,13.4546082358919,21.137596165973,,109444.0,4753.0,2,2
FORESTHILL,878.0,0.0,10536.0,0.0,43.478162178418295,3,1,0.0,100.0,0.0,11.5830352804143,16.3828982217177,,79802.0,6903.0,2,2
FORESTVILLE,15331.78218458,-206.02421,176145.86964380005,-2354.924264,6898.796940918337,11,1,0.0,100.0,0.0,10.3775451077883,14.1947282128894,,66913.5,8376.0,2,2
FORT BRAGG,69661.431522,-447.83261678299993,550452.0507500999,-4077.28539462,53340.16676728752,15,1,0.0,100.0,0.0,21.1912669703202,41.3040736536764,20389620.0,49522.0,12078.0,4,4
FORTUNA,289304.91093679995,1005.113955581,3099440.798069,47008.90693092001,358065.1024402415,158,1,10.264150644068634,100.0,0.0,23.5242697857525,45.9200403581789,17571716.0,48872.5,9342.0,4,4
FOUNTAIN VALLEY,26201.562500000004,0.0,314418.75,0.0,9423.693049150783,7,1,0.0,100.0,0.0,23.4596708930373,46.4371295245302,137721744.0,93454.0,53847.0,1,1
FOWLER,84149.10122699999,-193.25200010900002,848921.2216499998,-1729.784910542,51443.672210063436,19,1,70.70799133980516,100.0,1.0,51.3261088602299,90.2005297010972,13479812.0,47406.0,5177.0,4,4
FREMONT,4189145.5506879087,-6263.748833706012,48321489.98923919,-64324.2396542246,2351006.555350034,14231,3,59.06329147127301,100.0,0.0,16.557274788702,29.2092319334091,705689160.0,135033.5,227727.0,1,1
FRENCH CAMP,112990.17200000006,-96.26430000000003,925086.284,-1505.9220000000007,60798.155469514684,151,1,0.0,100.0,1.0,56.146220021606396,94.0850044141758,,53250.0,6299.0,1,1
FRESNO,5874454.691619996,-8106.654178723003,60333431.43987596,-90623.34044642096,3002237.4604069605,684,5,7.372681682370567,100.0,0.664,46.1699524896131,84.4494892167991,849627432.0,43839.0,591168.0,2,2
FULLERTON,1050721.5500000007,0.0,11475321.449999996,0.0,530717.7887895927,90,1,19.27491449805957,100.0,0.2,27.111497584931804,54.1241013999244,230208631.0,84479.0,155957.0,1,1
GARBERVILLE,20410.4792,-122.26780017799999,188149.116,-709.83120109,6670.862372848967,62,2,0.0,100.0,0.0,10.0760366999651,13.456930256022199,,65283.0,3241.0,10,10
GARDENA,13146.653519999998,-7.5593257729999985,65733.2676,-37.796628870000006,42208.281042329196,8,1,0.0,100.0,0.8,56.2954421370201,94.2048177575987,142671233.0,56535.0,79331.0,1,1
GEORGETOWN,6140.94708,-28.82142,73691.36496,-345.85704,5053.380546761649,7,2,0.0,100.0,0.0,14.0868211617028,22.6762517341405,,64883.0,7911.0,2,2
GEYSERVILLE,93111.71766675,-645.8893400000002,971498.9354226,-6763.021795500003,31897.266299146395,13,1,0.0,100.0,0.0,15.512533595095501,26.421995207466306,,104792.0,3644.0,2,2
GILROY,2779159.0060000005,-7600.82463,24477914.34282,-62444.04319000002,1773220.9287184274,95,3,6.82374877708098,100.0,0.2,27.4546912384708,54.597048808172595,132694169.0,96547.5,62228.0,6,6
GLEN ELLEN,58889.130573,-468.67347,706849.6326573999,-5789.0759049,28515.955132817075,27,1,0.0,100.0,0.0,7.464265916973879,7.32753184512549,,117167.0,4782.0,4,4
GOLETA,60493.62236,-40.576266061000005,303241.40252799995,-203.42670375700004,136099.89137071458,19,1,0.0,100.0,0.0,7.72947084494689,7.78156135704376,79722144.0,96250.0,56967.0,1,1
GONZALES,102710.78,-4.212,1230176.4,-37.0656,15273.977385589043,361,2,0.0,100.0,0.0,26.192328294311,52.2260058014882,13714502.0,54205.0,5469.0,2,2
GRANITE BAY,3220.672,-19.367,45367.06880000001,-270.9328,5431.173093361839,5,1,0.0,100.0,0.0,5.2310106585778895,3.44305713204692,,136534.5,25063.0,1,1
GRASS VALLEY,735915.6256414999,-2095.3074404,8273818.6886024,-21246.03184230999,504653.9774911193,204,4,70.46580578944814,100.0,0.0,11.8711295215193,17.467524277967,43207378.0,76103.5,47806.0,6,5
GREENBRAE,278.028,-6.101999999999999,2984.8759999999997,-63.3252,443.3790588941269,5,1,0.0,100.0,0.0,5.5881402530623685,3.9349224366250497,,194808.0,12130.0,1,1
