,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Resource Claims,OBF Claims,Total Claims,Total Programs,% OBF,% Resource
355,PARADISE,59555.72100000001,-272.56799981,62029.46290826358,108,8,108,2,7.4074074074074066,100.0
356,PARLIER,325112.112,-1357.2269989939998,117220.1226612609,401,0,401,2,0.0,100.0
357,PASO ROBLES,2113505.7154007503,-6094.042969858,938141.0339430091,2395,15,2395,3,0.6263048016701461,100.0
358,PEARBLOSSOM,53250.48,0.0,24590.6989860214,2,0,2,1,0.0,100.0
359,PENN VALLEY,65478.680100000005,-188.865229603,56873.97793785455,38,5,38,3,13.157894736842104,100.0
360,PENNGROVE,21653.057759999996,-172.27299,10786.199085773571,5,0,5,1,0.0,100.0
361,PENRYN,3975.295,-24.071,4720.944976296658,6,0,6,1,0.0,100.0
362,PETALUMA,2819703.822671001,-7340.990309010002,1241754.2672097806,3998,3,3998,4,0.0750375187593797,100.0
363,PETROLIA,4555.868399999999,-47.49120021,4326.554921116152,4,0,4,1,0.0,100.0
364,PHILLIPSVILLE,3275.7999999999997,-22.889,2894.0446109499558,6,0,6,1,0.0,100.0
365,PHILO,0.0,0.0,1378.17998777122,1,0,1,1,0.0,100.0
366,PINE GROVE,32489.106758000005,-233.11262,29449.301651174377,9,0,9,1,0.0,100.0
367,PINEDALE,46896.21000000001,0.0,15751.81762728041,5,0,5,1,0.0,100.0
368,PINOLE,223090.112472,-1126.4555100000002,119799.21032652032,536,0,536,3,0.0,100.0
369,PIONEER,23859.192868,-260.26095,22413.8678229316,9,0,9,1,0.0,100.0
370,PISMO BEACH,362797.047912,-1754.3374299999998,169250.79110407495,656,0,656,2,0.0,100.0
371,PITTSBURG,1530058.7559200008,-858.6924984100003,773607.2528302313,174,34,174,1,19.54022988505747,100.0
372,PLACENTIA,24700.434495999998,-19.335367835999996,14162.749889401868,26,0,26,1,0.0,100.0
373,PLACERVILLE,243098.75052,-1041.3577163600003,181428.23714054472,35,5,35,1,14.285714285714285,100.0
374,PLANADA,30163.306999999997,-205.6496,50732.19960788862,55,46,55,2,83.63636363636363,100.0
375,PLEASANT GROVE,1480.0,0.0,104.90401615059059,8,0,8,1,0.0,100.0
376,PLEASANT HILL,311676.2685030002,-1335.8498599999996,197520.0287319601,400,5,400,1,1.25,100.0
377,PLEASANTON,160399.7801800001,-347.4184728099999,195645.99691361628,349,161,349,4,46.13180515759313,100.0
378,PLYMOUTH,67219.74896000001,-649.114239914,60011.400581385526,8,0,8,1,0.0,100.0
379,POINT ARENA,34590.424462,-213.85213,18564.468660305945,15,0,15,1,0.0,100.0
380,POINT REYES STATION,69662.47732,-474.77482999999995,30087.858559233053,8,0,8,2,0.0,100.0
381,POLLOCK PINES,5520.683520000001,-32.49909,4130.833048127221,1,0,1,1,0.0,100.0
382,POMONA,1285858.4000000006,0.0,874656.5869408881,32,32,32,1,100.0,100.0
383,PORT HUENEME,16290.818208000002,-10.926083245999997,35973.59469901599,8,0,8,1,0.0,100.0
384,POTTER VALLEY,1564.92,-8.4456,986.9941371379961,1,0,1,1,0.0,100.0
385,QUAIL VALLEY,661.929408,-0.5763350880000002,3827.7819399394793,3,0,3,1,0.0,100.0
386,QUINCY,40911.14603,-405.33876983,32652.81939015531,5,0,5,1,0.0,100.0
387,RANCHO MIRAGE,1044326.065752,-14.398165941999997,324985.4820260261,34,4,34,1,11.76470588235294,100.0
388,RANCHO PALOS VERDES,80147.04740799998,-82.64649844600001,206460.65836935875,16,0,16,1,0.0,100.0
389,RED BLUFF,1276467.3112400004,-2243.2112656019995,613876.9456037924,514,19,514,3,3.6964980544747084,100.0
390,REDCREST,1465.0,0.0,72.4891886006638,5,0,5,1,0.0,100.0
391,REDDING,15178.785,-62.376760000000004,15690.88624621123,4,0,4,1,0.0,100.0
392,REDONDO BEACH,256707.75542399997,-0.09865538,164350.58569179534,20,0,20,1,0.0,100.0
393,REDWAY,33253.0771,-233.24840044999996,29057.535009716274,16,0,16,1,0.0,100.0
394,REDWOOD CITY,640013.0733999999,-1542.5804100000005,369249.325508416,650,7,650,3,1.0769230769230769,100.0
395,REDWOOD VALLEY,35722.380959999995,-334.60155273,41437.17454598619,9,3,9,1,33.33333333333333,100.0
396,REEDLEY,329183.11778000003,-1028.834702243,118241.3560771783,878,6,878,2,0.683371298405467,100.0
397,RICHMOND,2209895.3809589227,-11937.346693066022,1633585.589087501,2612,19,2612,2,0.7274119448698315,100.0
398,RIO DELL,80413.98,-763.357,88266.86540708998,156,0,156,2,0.0,100.0
399,RIO OSO,13562.835,-77.28659999999999,12948.368073095658,2,0,2,1,0.0,100.0
400,RIO VISTA,1112211.8804399997,-4065.706457669999,555614.139332858,401,6,401,3,1.4962593516209477,100.0
401,RIPON,86051.1,-263.8497,76590.1108950433,4,0,4,1,0.0,100.0
402,RIVERBANK,193445.03700000004,-476.5489999999999,79430.71915239438,348,0,348,2,0.0,100.0
403,RIVERDALE,13549.68,0.0,7512.07846763229,1,0,1,1,0.0,100.0
404,ROCKLIN,674270.4624600001,-480.15615250100007,296237.19086950715,1024,2,1024,4,0.1953125,100.0
405,RODEO,27923.977926000003,-243.53552000000005,19344.770048077302,253,0,253,1,0.0,100.0
406,ROHNERT PARK,796559.6046479904,-3060.1282856199987,421318.11823910393,1889,1617,1889,1,85.60084700899947,100.0
407,ROLLING HILLS,3898.028736,-2.614367548,12501.08758749118,2,0,2,1,0.0,100.0
408,ROLLING HILLS ESTATES,18755.864352,-10.901419401999998,83565.71142622584,20,0,20,2,0.0,100.0
409,ROSEMEAD,64904.48975200001,-156.17163573599998,7931750.1158226,104,0,116,25,0.0,89.65517241379311
410,ROSEVILLE,2610.0,0.0,130.06606296773552,9,0,9,1,0.0,100.0
411,RUTHERFORD,99945.52284300001,-560.9875299999999,41871.404995742094,12,0,12,1,0.0,100.0
412,SACRAMENTO,29903.0,0.0,16421.66872826938,162,1,162,2,0.6172839506172839,100.0
413,SAINT HELENA,107566.490166,-536.010399828,51293.40311058235,36,0,36,1,0.0,100.0
414,SALINAS,5466769.433152999,-30800.980081100985,3053607.51532291,726,76,726,3,10.46831955922865,100.0
415,SAMOA,46813.5023,-580.00140324,30994.776273385818,4,1,4,2,25.0,100.0
416,SAN ANSELMO,263893.88115,-861.9945089000003,229761.95310605643,140,0,140,1,0.0,100.0
417,SAN ARDO,320.0,0.0,14.9123142335921,1,0,1,1,0.0,100.0
418,SAN BERNARDINO,481293.72000000003,0.0,174230.9110292381,5,0,5,2,0.0,100.0
419,SAN BRUNO,132328.86812,-79.70582000000002,119661.54054166627,232,0,232,1,0.0,100.0
420,SAN CARLOS,863095.4913999998,-1899.4545000000003,402278.19411848247,43,9,43,2,20.930232558139537,100.0
421,SAN DIEGO,0.0,0.0,20892804.109584592,0,0,104,8,0.0,0.0
422,SAN FRANCISCO,14221112.936450606,-51969.62155826199,33685439.53483454,2971,557,2974,10,18.728984532616007,99.89912575655683
423,SAN GABRIEL,38008.8,0.0,9505.7935970838,2,0,2,1,0.0,100.0
424,SAN GERONIMO,7242.578,-39.1026,3574.0553532295135,7,0,7,1,0.0,100.0
425,SAN JACINTO,19383.311888000004,-16.921208768,242198.71808736626,16,0,16,1,0.0,100.0
426,SAN JOAQUIN,48075.04,0.0,7945.808504222377,202,0,202,2,0.0,100.0
427,SAN JOSE,9100077.245088149,-30011.753694132003,5089768.9796047015,4877,1248,4877,4,25.58950174287472,100.0
428,SAN JUAN BAUTISTA,148144.247,-771.2099999999999,83644.50286185447,91,0,91,3,0.0,100.0
429,SAN LEANDRO,1502752.2105180009,-5018.64903931101,1010371.1276458561,3772,5,3772,3,0.1325556733828208,100.0
430,SAN LORENZO,59093.48569900001,-344.34625059999996,38864.77771334931,39,0,39,1,0.0,100.0
431,SAN LUIS OBISPO,622925.4062000001,-2636.9394086789994,277676.4409353425,626,6,626,3,0.9584664536741214,100.0
432,SAN MARINO,65558.99999999999,0.0,42421.9339406183,36,0,36,1,0.0,100.0
433,SAN MARTIN,739596.5,-369.84919999999994,554931.4617943366,13,0,13,1,0.0,100.0
434,SAN MATEO,1578122.9502499998,-1849.1347536600006,739052.3031228535,3753,21,3753,3,0.5595523581135092,100.0
435,SAN MIGUEL,33526.18364,-69.34697874,8273.530273407305,106,0,106,2,0.0,100.0
436,SAN PABLO,321859.3152860002,-2599.3515899999984,200864.18945371514,335,0,335,2,0.0,100.0
437,SAN RAFAEL,1123088.435705097,-5358.655852196988,877904.4362797411,3602,3,3602,2,0.0832870627429206,100.0
438,SAN RAMON,543835.7899999995,-749.3633049999999,163210.49636336707,2146,44,2146,2,2.050326188257223,100.0
439,SAN SIMEON,98975.51735,-649.3605899999999,50719.77561306434,47,0,47,2,0.0,100.0
440,SAND CITY,158906.548,-428.7434,103964.80781237638,14,9,14,1,64.28571428571429,100.0
441,SANGER,337088.14699999994,-506.6696,100033.94019508037,785,0,785,2,0.0,100.0
442,SANTA ANA,2550324.3270442006,-2819.448,1415528.9671165182,76,68,76,1,89.47368421052632,100.0
443,SANTA BARBARA,811043.904672,-365.237043918,1483900.159486535,263,118,263,3,44.866920152091254,100.0
444,SANTA CLARITA,22451.6,0.0,13087.875029384788,10,0,10,1,0.0,100.0
445,SANTA CRUZ,2690789.3934099996,8462.054365927002,1493410.9476768682,271,117,271,4,43.17343173431734,100.0
446,SANTA MARGARITA,4618.12752,-18.558090018,3114.482086142869,2,0,2,1,0.0,100.0
447,SANTA MARIA,4525220.2522000205,-12843.122619602002,1753702.3599480505,2687,15,2687,3,0.5582433941198363,100.0
448,SANTA MONICA,2096627.9245539992,-156.76302995400002,2034499.7383645093,424,322,424,2,75.94339622641509,100.0
449,SANTA NELLA,185.0,0.0,117.287420280135,1,0,1,1,0.0,100.0
450,SANTA PAULA,69255.84524000001,-55.28104309599999,109772.08857102747,37,22,37,1,59.45945945945946,100.0
451,SANTA ROSA,7989349.137323591,-23561.29440691599,3444090.7995450175,11658,32,11658,5,0.27448962086121115,100.0
452,SANTA YNEZ,1850.0,0.0,128.399316662954,10,0,10,1,0.0,100.0
453,SARATOGA,242567.56257999997,-512.224,107742.09203662042,216,10,216,2,4.62962962962963,100.0
454,SAUSALITO,101756.122684,-649.9714700000002,92215.04445757381,75,0,75,1,0.0,100.0
455,SCOTIA,40224.4329,-656.1536999499999,28432.24261353651,8,0,8,1,0.0,100.0
456,SCOTTS VALLEY,495467.2499999999,-2090.9721954999995,233203.6095288899,56,41,56,1,73.21428571428571,100.0
457,SEASIDE,1117590.3995800007,-3232.71804,542886.48705851,1254,52,1254,2,4.146730462519936,100.0
458,SEBASTOPOL,371833.3059380001,-2055.4706600000004,196713.5864947754,177,0,177,1,0.0,100.0
459,SELMA,180001.96200000003,-39.26700000000001,100866.21721045785,1036,0,1036,1,0.0,100.0
