city,total_population
Scotia,4347
El Segundo,16731
Antelope,47668
Thousand Palms,7205
Lincoln,52810
Redwood Valley,10311
Stonyford,2252
Wilton,7963
Montrose,5874
Laguna Hills,22922
Berry Creek,4660
Carpinteria,13619
Calabasas,21831
Walnut Creek,97658
Auburn,44187
Rohnert Park,38042
Cupertino,61929
Porter Ranch,34254
Nevada City,19638
Fair Oaks,42933
Igo,3575
Litchfield,9280
Winchester,49302
Novato,63616
Playa del Rey,12692
Saint Helena,7947
Nipomo,27744
Yosemite NTL Park,3487
Dublin,37942
White Water,1332
Sausalito,10548
Clearlake Oaks,7002
San Carlos,32112
Portola,4409
Davis Creek,2441
Calpine,3040
Hercules,22381
Fiddletown,4748
Pescadero,3944
Pine Grove,4639
San Clemente,54350
Bishop,16336
Stevenson Ranch,12035
Kelseyville,9457
Mariposa,10285
Westlake Village,17146
Pleasanton,93374
Placerville,39151
Kings Canyon National PK,6101
Lower Lake,7286
Korbel,4675
Desert Hot Springs,48809
Dana Point,19711
Malibu,19438
Oceano,7033
Encinitas,55060
Carlsbad,117678
La Palma,14476
Hornbrook,656
Pinon Hills,7661
Winters,9111
Lytle Creek,1858
American Canyon,13352
Shandon,9434
Pioneer,5890
Santa Cruz,106510
Catheys Valley,2576
Independence,2284
Crescent City,26244
Ojai,16740
Cassel,2774
Alpine,19359
South Lake Tahoe,30165
Durham,5834
Mendocino NTL Forest,3376
Sonoma,36263
Los Padres NTL Forest,1050
Shasta Lake,9210
Lake Arrowhead,4121
Soda Springs,3754
South Pasadena,25661
Avalon,4167
McArthur,4237
Belmont,27359
Sebastopol,25746
Palm Desert,63032
Klamath,1251
Susanville,11057
Quincy,5446
Campbell,44176
Elverta,9109
Chester,3794
Acton,7865
Potter Valley,1869
Llano,3926
Travis AFB,3952
Angels Camp,4483
La Canada Flintridge,20521
Anza,5266
Poway,44333
Magalia,8458
Leggett,3542
Montague,3939
Macdoel,2787
Lebec,620
Orangevale,37602
Port Hueneme CBC Base,2295
Grover Beach,13535
Santa Margarita,6793
Ferndale,3309
Shingletown,6282
Albany,16742
Pleasant Hill,32996
Termo,1445
Joshua Tree,8864
Oak View,8617
Ramona,40288
Nice,2446
Geyserville,3644
Blocksburg,3465
Rocklin,63112
Mountain Ranch,7496
Hoopa,5686
Valyermo,796
Coulterville,2857
Strawberry Valley,1142
Bonsall,4841
Goleta,56967
