County,Population,Mean Income,CES Score Median,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd
MADERA,155433,61593,39.178368610273,0.4695752070000001,817688440,0.4782608695652174,39.178368610273,74.725690503216,57585
MARIN,259943,63988,6.80002120096525,0.376551385,1915528217,0.0,6.800021200965251,6.223987892546345,115246
MARIPOSA,17420,64617,15.120245796545598,0.556874694,232171960,0.0,15.120245796545598,25.375204943876902,48820
MENDOCINO,87224,60544,16.9170484015768,0.5158685820000001,758752047,0.0,16.9170484015768,30.148820784462103,51416
MERCED,271382,49839,44.4721415961496,0.43870777,1666466015,0.7551020408163265,44.4721415961496,82.21717744986759,53672
MODOC,8907,57068,16.5253982460375,0.60969562,96893007,0.0,16.5253982460375,29.253373691512152,45507
MONO,14310,74878,13.7990245749186,0.5997395289999999,188643308,0.0,13.7990245749186,21.957371673603202,62260
MONTEREY,433410,54906,22.949521932576605,0.426751382,3671220267,0.04301075268817205,22.949521932576552,45.0813469542187,71015
NAPA,139623,61210,14.907091214416802,0.439768059,1222227166,0.0,14.907091214416802,24.8959515701854,88596
NEVADA,99244,58390,12.930972375883801,0.462420172,546343616,0.0,12.930972375883801,19.983604489847398,66096
ORANGE,3168044,59877,21.114328152440397,0.167891882,13906507153,0.12199312714776632,21.114328152440397,41.0770588977172,90234
PLACER,385512,57934,8.68146201364846,0.419322816,2127770556,0.0,8.68146201364846,10.1904401563879,89691
PLUMAS,18660,45546,15.060347486656001,0.5645730529999999,185792886,0.0,15.060347486656001,25.2490856350107,55359
RIVERSIDE,2411439,57259,27.8028861047095,0.367669403,13570088323,0.2229580573951435,27.802886104709447,55.5177197628957,67005
SACRAMENTO,1524553,61520,24.4173718609263,0.287298945,10395684000,0.13880126182965302,24.4173718609263,48.7198890150082,67151
SAN BENITO,60376,69030,31.288566049791196,0.504367412,281691310,0.0,31.288566049791196,61.7480136208854,86958
SAN BERNARDINO,2149031,58211,36.472437130415,0.398318883,13659231046,0.4254742547425474,36.472437130415,70.75293227393117,63362
SAN DIEGO,3316073,79853,17.1139531881333,0.313741722,14446023940,0.060606060606060615,17.113953188133248,30.64699205448355,78980
SAN FRANCISCO,874961,64631,14.761339063824101,0.079645896,1457014810,0.061538461538461535,14.76133906382405,24.536511539916802,112449
SAN JOAQUIN,742603,63860,39.4624810690591,0.376179201,4889031329,0.5107913669064749,39.4624810690591,75.19233194602091,64432
SAN LUIS OBISPO,282165,64465,11.840650704286402,0.445806595,1927680713,0.0,11.840650704286402,17.2152856602346,73518
SAN MATEO,767423,69742,13.7363497749868,0.291916724,5988035519,0.03821656050955414,13.7363497749868,21.787110606633895,122641
SANTA BARBARA,444829,77911,14.6223263550667,0.418740179,2903982473,0.0,14.622326355066653,24.15184764787491,74624
SANTA CLARA,1927470,55980,16.756590563714006,0.297966473,18131549759,0.051075268817204304,16.756590563714003,29.738933030647,124055
SANTA CRUZ,273962,48377,11.7538378250281,0.372903537,1830683929,0.038461538461538464,11.7538378250281,16.937823180728998,82234
SHASTA,179212,86014,14.0130939321446,0.4669504820000001,1070287414,0.0,14.0130939321446,22.4744608399546,54667
SIERRA,3040,61491,19.9654826601361,0.6149941,65142974,0.0,19.9654826601361,38.20153865556821,52148
SISKIYOU,43468,53922,14.699549269200899,0.5573504189999999,316302971,0.0,14.699549269200899,24.309496783957602,45241
